top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/753/240308010047753.jpg?RS=450&SP=1,J.LINDEBERG,[Men Collection] 뱅크스 솔리드 스윔 트렁크,Collection],"142,500",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_110022_210114010650.png","블루,핑크,그린",N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/747/240308010047747.jpg?RS=450&SP=1,J.LINDEBERG,[Men Collection] 뱅크스 플로럴 스윔 트렁크,Collection],"142,500",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/301/240814027656301.jpg?RS=450&SP=1,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 스플래시 패턴 아쿠아리액티브 (VQ-24SSMOOAD125600),N/A,"302,100",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/703/240814027655703.jpg?RS=450&SP=1,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 나우메 씨 쉘 패턴 아쿠아리액티브 (VQ-24SSMOOAD127195),N/A,"302,100",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/479/240814027656479.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 벤돔 터틀 입체 패턴 (VQ-24SSMOOAD222602),N/A,"359,100",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/496/240814027656496.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 미니 스타 패턴 (VQ-24SSMOOAB109605),N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/goods/org/080/220427002402080.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 마이크로 라운드 터틀 라이트 패브릭 (VQ-22SSMA,N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/goods/org/076/220427002402076.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 쉘 패턴 타이 다이 스트래치 (VQ-22SSMSOH2F29201),N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/goods/org/184/230628005554184.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 라운드 멀티 컬러 터틀 패턴 스트레치 (VQ-23SSM,N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/goods/org/524/230630005576524.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 빌보콰&울마크 수퍼120' (VQ-23SSMGUH2L27921),(VQ-23SSMGUH2L27921),"302,100",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/460/240702023285460.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 그래픽 랍스터 패턴 (VQ-24SSMSOAF131390),N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/219/240702023285219.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 누메아 씨 쉘 패턴 (VQ-24SSMOOAB127390),N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/316/240502015350316.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 퍼플 에펠 페턴 (VQ-24SSMSOAF115148),N/A,"349,600",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/goods/org/593/230630005576593.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 샤크 올 어라운드 (VQ-23SSMOOU3B29373),N/A,"349,600",5%,5,1,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/242/240502015350242.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 아쿠아리움 입체 패턴 (VQ-24SSMOOAD205603),N/A,"359,100",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,수영복,https://image.sivillage.com/upload/C00001/s3/goods/org/280/240702023275280.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 맨즈 트렁크 스윔웨어 옥토퍼스 댄스 패턴 아쿠아리액티브 (VQ-24SSMOOAD107207),N/A,"302,100",5%,N/A,N/A,N/A,,,N/A
