top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/603/231218007647603.jpg?RS=450&SP=1,HEAD,[REBELS] 남성 레귤러핏 LYRIC 하프집업 니트 _JHWAW23005GYL,[REBELS],"332,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/626/231218007648626.jpg?RS=450&SP=1,HEAD,[KORE] 남여공용 레귤러핏 프리마로프트 테크 후드티셔츠 블랙_JHTAW23015BKX,N/A,"251,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/605/231218007647605.jpg?RS=450&SP=1,HEAD,[REBELS] 남성 레귤러핏 LYRIC 하프집업 니트 오렌지_JHWAW23005ORX,[REBELS],"332,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/610/231218007647610.jpg?RS=450&SP=1,HEAD,[REBELS] 남성 레귤러핏 LYRIC 하프집업 니트 블랙_JHWAW23005BKX,[REBELS],"332,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/629/231218007648629.jpg?RS=450&SP=1&QT=20,HEAD,[KORE] 남여공용 레귤러핏 프리마로프트 테크 후드티셔츠 오렌지_JHTAW23015ORX,N/A,"251,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/623/231218007648623.jpg?RS=450&SP=1&QT=20,HEAD,[KORE] 남여공용 레귤러핏 프리마로프트 테크 후드티셔츠 카키_JHTAW23015KHX,N/A,"251,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/601/231218007647601.jpg?RS=450&SP=1&QT=20,HEAD,[REBELS] 남성 레귤러핏 MARTY 미들레이어 티셔츠 카키_JHUAW23008KHX,[REBELS],"143,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/571/231218007647571.jpg?RS=450&SP=1&QT=20,HEAD,[REBELS] 남성 레귤러핏 MARTY 미들레이어 티셔츠_JHUAW23008ORX,[REBELS],"143,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/672/240402012717672.jpg?RS=450&SP=1,ARC`TERYX,[SS24]코막 크루 SS 남성,N/A,"114,000",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/612/231218007647612.jpg?RS=450&SP=1,HEAD,[REBELS] 남성 레귤러핏 RACE STAR 반팔 티셔츠 블랙_JHTAW23027BKX,[REBELS],"62,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/598/231218007647598.jpg?RS=450&SP=1,HEAD,[HEAD GLOBAL] 남성 레귤러핏 스키 베이스레이어 상의 블랙_JHQAA23003BKX,GLOBAL],"71,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/350/231114007034350.jpg?RS=450&SP=1,ROXY,록시 아동 스노우 민트 플리스 집업 (TC51KJ065BDY),N/A,"42,660",46%,N/A,N/A,N/A,,,세일
