top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/445/231218007648445.jpg?RS=450&SP=1,HEAD,[REBELS] 여성 레귤러핏 COCO 풀오버 터틀넥 니트 레드_JOWAW23004GYL,[REBELS],"323,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/626/231218007648626.jpg?RS=450&SP=1,HEAD,[KORE] 남여공용 레귤러핏 프리마로프트 테크 후드티셔츠 블랙_JHTAW23015BKX,N/A,"251,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/443/231218007648443.jpg?RS=450&SP=1,HEAD,[REBELS] 여성 레귤러핏 COCO 풀오버 터틀넥 니트 카키_JOWAW23004KHX,[REBELS],"323,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/629/231218007648629.jpg?RS=450&SP=1,HEAD,[KORE] 남여공용 레귤러핏 프리마로프트 테크 후드티셔츠 오렌지_JHTAW23015ORX,N/A,"251,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/623/231218007648623.jpg?RS=450&SP=1&QT=20,HEAD,[KORE] 남여공용 레귤러핏 프리마로프트 테크 후드티셔츠 카키_JHTAW23015KHX,N/A,"251,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/938/240402012717938.jpg?RS=450&SP=1&QT=20,ARC`TERYX,[SS24]테마 후디 여성,N/A,"161,500",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/922/240402012717922.jpg?RS=450&SP=1&QT=20,ARC`TERYX,[SS24]라나 메리노 울 크로 LS 여성,LS,"171,000",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/439/231218007648439.jpg?RS=450&SP=1&QT=20,HEAD,[LEGACY] 여성 슬림핏 스트레치 미들레이어 하프집업 티셔츠 레드_JOUAW23018REX,[LEGACY],"197,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/441/231218007648441.jpg?RS=450&SP=1,HEAD,[LEGACY] 여성 슬림핏 스트레치 미들레이어 하프집업 티셔츠 아이보리_JOUAW23018IVX,[LEGACY],"197,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/933/240402012717933.jpg?RS=450&SP=1,ARC`TERYX,[SS24]테마 크루 SS 여성,N/A,"114,000",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/945/240402012717945.jpg?RS=450&SP=1,ARC`TERYX,[SS24]테마 크루 LS 여성,LS,"123,500",5%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/436/231218007648436.jpg?RS=450&SP=1,HEAD,[HEAD GLOBAL] 여성 레귤러핏 스키 베이스레이어 상의 블랙_JOQAA23003BKX,GLOBAL],"71,100",10%,N/A,N/A,N/A,,,N/A
