top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/966/240802025951966.jpg?RS=450&SP=1,GREGORY,그레고리 콰드로 캐리온 캐리어 - TOTAL BLACK,TOTAL,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/967/240802025951967.jpg?RS=450&SP=1,GREGORY,그레고리 콰드로 캐리온 캐리어 - MIRAGE TAN,MIRAGE,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/317/240902030335317.jpg?RS=450&SP=1,GREGORY,그레고리 데이팩 - DENIM_블루투스 파우치 증정,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/965/240802025951965.jpg?RS=450&SP=1,GREGORY,그레고리 콰드로 프로 28 캐리어 - OPTIC BLACK,BLACK,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/160/240902030336160.jpg?RS=450&SP=1&QT=20,GREGORY,그레고리 올데이 V2.1 - DENIM_블루투스 파우치 증정,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/161/240902030336161.jpg?RS=450&SP=1&QT=20,GREGORY,그레고리 올데이 V2.1 - GREY/PURPLE_블루투스 파우치 증정,GREY/PURPLE_블루투스,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/821/240902030335821.jpg?RS=450&SP=1&QT=20,GREGORY,그레고리 데이팩 - GREY/PURPLE_블루투스 파우치 증정,GREY/PURPLE_블루투스,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/818/240902030335818.jpg?RS=450&SP=1&QT=20,GREGORY,그레고리 데이팩 - BROWN/LIGHT BEIGE_블루투스 파우치 증정,BROWN/LIGHT,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/goods/org/107/230717005738107.jpg?RS=450&SP=1&QT=20,MONTBELL,차차 팩 30L 여 PLUM JBEGXWBM203,30L,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,기타 가방류,https://image.sivillage.com/upload/C00001/s3/goods/org/664/240729025608664.jpg?RS=450&SP=1&QT=20,NEPA,네파 ZOOM-IN 줌인 45L 7KC7515,45L,N/A,N/A,N/A,N/A,N/A,,,N/A
