top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/s3/goods/org/461/240208008871461.jpg?RS=450&SP=1,JAJU,360도 회전하는 4바퀴 접이식카트_블루,N/A,N/A,N/A,5,41,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/120/230725005801120.jpg?RS=450&SP=1,MONTBELL,크로노스 돔 1 DARK GREEN JBEFXUZT442,GREEN,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/376/220621002673376.jpg?RS=450&SP=1,RAB,Rab 실타프 플러스 쉘터,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/s3/goods/org/618/240522017886618.jpg?RS=450&SP=1,KOVEA,[코베아] 라이브렉타가든,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/236/230708005654236.jpg?RS=450&SP=1&QT=20,FATBOY,[Fatboy] 미아썬 비치 텐트 발리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/060/230708005654060.jpg?RS=450&SP=1&QT=20,FATBOY,[Fatboy] 미아썬 비치 텐트 리스보아,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/s3/goods/org/958/231204007278958.jpg?RS=450&SP=1&QT=20,BROOKLYN WORKS,BW_[브루클린웍스] 로이 텐트 2.0 (3-4인용),N/A,N/A,N/A,5,1,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/655/230717005731655.jpg?RS=450&SP=1&QT=20,MONTBELL,문라이트 텐트 2 카모플라주 플라이 GREEN JBEXXUZT921,GREEN,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/629/230717005731629.jpg?RS=450&SP=1&QT=20,MONTBELL,스텔라릿지 4 스노우플라이 YELLOW JBEFXUZT241,YELLOW,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/goods/org/689/230717005731689.jpg?RS=450&SP=1&QT=20,MONTBELL,레라 돔 4 DARK GREEN JBEFXUZT101,GREEN,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,텐트/타프,https://image.sivillage.com/upload/C00001/s3/goods/org/679/240318011326679.jpg?RS=450&SP=1&QT=20,SNOW PEAK,랜드스테이션L(R) TP-820,랜드스테이션L(R),N/A,N/A,N/A,N/A,N/A,,,N/A
