top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240411013418344.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 테니스 스카이라 팬츠,N/A,"221,440",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240424014649902.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 테니스 프리실라 쇼츠,N/A,"118,840",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","다크 네이비,화이트",N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/094/240829029793094.jpg?RS=450&SP=1,LECOQ SPORTIF,듀스 기모 안감 팬츠 블랙(QP323TPT91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/487/240902030314487.jpg?RS=450&SP=1,LECOQ SPORTIF,풋볼 와이드 팬츠 그레이(QP423FFPO1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/539/240902030314539.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,풋볼 와이드 팬츠 블랙(QP423FFPO1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/200/240829029793200.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,듀스 기모 안감 팬츠 핑크(QP323TPT91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/205/240829029793205.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,듀스 기모 안감 팬츠 브라운(QP323TPT91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/goods/org/306/230825006060306.jpg?RS=450&SP=1&QT=20,NYLORA,BILLIE PANTS BLUE,BILLIE,N/A,N/A,5,1,N/A,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240902030314493.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,풋볼 와이드 팬츠 멜란지(QP423FFPO1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/771/240814027667771.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,트리코트 본딩 트랙팬츠 블랙(QP323EFP91),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/709/240814027667709.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 루즈 스트레이트 팬츠 블랙(QP323TFP91),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/690/240819028263690.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,나일론 스판 스트레이트 팬츠 베이지(QP323EPT92),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,팬츠/레깅스,https://image.sivillage.com/upload/C00001/s3/goods/org/682/240819028263682.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,나일론 스판 스트레이트 팬츠 블랙(QP323EPT92),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
