top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/290/230829006085290.jpg?RS=450&SP=1,INBODY,[공식판매처] (주)인바디가 만든 인바디 체중계 다이얼W,N/A,"239,000",22%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/886/240828029552886.jpg?RS=450&SP=1,NIKE,나이키 주장완장 풋볼 캡틴 암밴드 2.0 (AC3912-101),N/A,"19,500",14%,N/A,N/A,신규입고,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/582/240827029414582.jpg?RS=450&SP=1,NIKE,나이키 신가드 정강이 보호대 머큐리얼 라이트 (DN3611-420),N/A,"34,000",14%,N/A,N/A,신규입고,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/320/231019006632320.jpg?RS=450&SP=1,NIKE,프로 오픈 니 슬리브 위드 스트랩 (DA7069-010),N/A,"63,500",14%,5,1,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/407/230725005796407.jpg?RS=450&SP=1&QT=20,NIKE,나이키 마사지 바 리커버리 롤러 바 (DX7053-010),N/A,"55,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/234/240813027507234.jpg?RS=450&SP=1&QT=20,NIKE,나이키 신가드 정강이 보호대 머큐리얼 라이트 슈퍼락 (DN3609-420),N/A,"41,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/847/230705005619847.jpg?RS=450&SP=1&QT=20,NIKE,나이키 스트릭 발리볼 니 패드 (AC3444-001),N/A,"51,000",15%,5,1,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/279/230705005620279.jpg?RS=450&SP=1&QT=20,NIKE,나이키 손목보호대 AC2287-924 스우시 더블 와이드 리스트밴드,N/A,"17,500",14%,5,1,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/798/240417014005798.jpg?RS=450&SP=1&QT=20,NIKE,나이키 신가드 정강이 보호대 머큐리얼 라이트 (DN3611-010),N/A,"34,000",16%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/812/240813027507812.jpg?RS=450&SP=1&QT=20,UNDERARMOUR,언더아머 손목보호대 UA 퍼포먼스 리스트밴드 (1276991-400),N/A,"9,500",26%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/186/240131008603186.jpg?RS=450&SP=1&QT=20,NIKE,나이키 주니어 신가드 정강이 보호대 차지 (DX4610-010),N/A,"20,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/020/240701023209020.jpg?RS=450&SP=1&QT=20,NIKE,나이키 신가드 정강이보호대 머큐리얼 하드쉘 (DN3614-420),N/A,"21,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/114/230705005620114.jpg?RS=450&SP=1&QT=20,NIKE,나이키 프로 앵클 슬리브 위드 스트랩 (DA7067-010),N/A,"41,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/s3/goods/org/187/240131008603187.jpg?RS=450&SP=1&QT=20,NIKE,나이키 주니어 신가드 정강이 보호대 차지 (DX4610-101),N/A,"20,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,헬스/기구운동,기타 헬스용품,https://image.sivillage.com/upload/C00001/goods/org/330/231019006632330.jpg?RS=450&SP=1&QT=20,NIKE,나이키 프로 니트 앵클 슬리브 (DA6933-010),N/A,"39,500",14%,N/A,N/A,N/A,,,N/A
