top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/500/240718024820500.jpg?RS=450&SP=1,PAUL SMITH,플라워 엠브로이더리 실크 타이,N/A,"261,000",10%,5,1,N/A,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/384/240807026561384.jpg?RS=450&SP=1,MAN ON THE BOON,[ROSI] 울 블렌드 텍스처드 니트 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/372/240807026561372.jpg?RS=450&SP=1,MAN ON THE BOON,[ROSI] 실크 텍스처드 니트 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/330/240807026561330.jpg?RS=450&SP=1,MAN ON THE BOON,[ROSI] 페이즐리 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/325/240807026561325.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[ROSI] 플라워 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/320/240807026561320.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[ROSI] 다이아고날 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/360/240807026561360.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[ROSI] 플라워 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/315/240807026561315.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[ROSI] 플라워 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/378/240807026561378.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[ROSI] 실크 텍스처드 니트 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,넥타이/행커칩/보타이,https://image.sivillage.com/upload/C00001/s3/goods/org/365/240807026561365.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[ROSI] 빅 다이아고날 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
