top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/774/240820028335774.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 로고 패턴 데님 베이스볼 캡,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/092/240805026275092.jpg?RS=450&SP=1,ERDEM,엠브로이더드 니티드 햇,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/086/240805026275086.jpg?RS=450&SP=1,ERDEM,엠브로이더드 니티드 햇,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/357/240724025223357.jpg?RS=450&SP=1,Yohji Yamamoto,[Y's]플리티드 린넨 뉴스보이 캡,N/A,"617,500",5%,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/341/240724025223341.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]배색 스티치 울 플로피 햇,N/A,"693,500",5%,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/314/240724025223314.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]어시머트리 패치 베레모,N/A,"655,500",5%,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/307/240724025223307.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]어시머트리 패치 클로슈 햇,N/A,"750,500",5%,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/018/240722025071018.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 ICON 로고 울 블렌드 베레모,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/383/240709024283383.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 이글 로고 벨티드 울 페도라,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/186/240624022468186.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 캐시미어 니트 바라클라바,N/A,"570,000",5%,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/266/240716024685266.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 이글 로고 패치 클로슈 햇,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/240/240627022885240.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 로고 자수 벨벳 베이스볼 캡,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/191/240624022468191.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 캐시미어 니트 바라클라바,N/A,"570,000",5%,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/275/240716024685275.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 ICON 로고 리브드 베레모,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/256/240709024283256.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 이글 로고 벨티드 울 페도라,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,여성 액세서리,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/398/240531019112398.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 로고 레이어드 니트 비니,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
