top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/276/240831030095276.jpg?RS=450&SP=1,BURBERRY,24FW 버버리 키링 8083900 Beige,Beige,"484,500",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/467/240830029975467.jpg?RS=450&SP=1,PRADA,23SS 프라다 키링 2YG013BV1 F0002,2YG013BV1,"1,113,500",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/590/240829029652590.jpg?RS=450&SP=1,ETRO,24FW 에트로 키링 MP2H0001AA012 M0019 Brown,N/A,"463,250",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/005/240829029655005.jpg?RS=450&SP=1,MOSCHINO,24FW 모스키노 키링 85018001 3296 Multicolor,Multicolor,"212,500",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/727/240829029655727.jpg?RS=450&SP=1&QT=20,PRADA,24FW 프라다 키링 1PS06366A F019F Gold,Gold,"580,550",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/846/240829029655846.jpg?RS=450&SP=1&QT=20,MONTBLANC,24FW 몽블랑 키링 198891 CYPRUSBLUE Blue,CYPRUSBLUE,"379,950",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/223/240829029692223.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 키링 66896102G0W 1000 Black,66896102G0W,"455,600",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/885/240829029679885.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 키링 5183230SX0E 1000 Black,Black,"422,450",15%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/142/240830029952142.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,[BOTTEGA VENETA] 24FW 인트레치아토 나파 키링 651820 V0HW1 7117,[BOTTEGA,"364,650",27%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/136/240830029952136.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,[BOTTEGA VENETA] 24FW 인트레치아토 나파 키링 651820 V0HW1 3979,[BOTTEGA,"364,650",27%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/128/240830029952128.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,[BOTTEGA VENETA] 24FW 인트레치아토 나파 키링 블루 113539 V001D 4401,[BOTTEGA,"364,650",27%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/396/240828029558396.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,[BOTTEGA VENETA] 24FW 인트레치아토 나파 키링 651820 V0HW1 2916,[BOTTEGA,"364,650",27%,N/A,N/A,신규입고,,,N/A
액세서리,여성 액세서리,키링/참,https://image.sivillage.com/upload/C00001/s3/goods/org/406/240828029558406.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,[BOTTEGA VENETA] 24FW 인트레치아토 나파 키링 블랙 608783 VO0BG 8803,[BOTTEGA,"364,650",27%,N/A,N/A,신규입고,,,N/A
