top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/877/240830029930877.jpg?RS=450&SP=1,VALENTINO,발렌티노 4Y2J0N96 MET CS4 (J0N96 MET CS4) 가라바니 V로고 목걸이,N/A,"441,150",1%,N/A,N/A,신규입고,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/864/240814027667864.jpg?RS=450&SP=1,VALENTINO,발렌티노 5Y2J0N96 MET CS4 (J0N96 MET CS4) 가라바니 V로고 목걸이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/378/240528018680378.jpg?RS=450&SP=1,DIESEL WATCH,[공식본사정품] 디젤 DX1343040 체인 스테인리스스틸 목걸이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/559/240528018686559.jpg?RS=450&SP=1,DIESEL WATCH,[공식본사정품] 디젤 DX1477040 체인 스테인리스스틸 목걸이,N/A,N/A,N/A,5,5,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/359/240711024416359.jpg?RS=450&SP=1&QT=20,VALENTINO,발렌티노 5Y2J0N96 MET 172 (J0N96 MET 172) 가라바니 V로고 목걸이,N/A,"407,150",9%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/551/240611020812551.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE KOREA,골든구스 남성 플랫 체인 메탈 네클리스 GMA00299 A000385 70231,GMA00299,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/220/240628022962220.jpeg?RS=450&SP=1&QT=20,ALIITA,알리타 꼬네히토 목걸이 NRPU8U0000YG09K J1000,NRPU8U0000YG09K,"225,250",15%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/575/240528018680575.jpg?RS=450&SP=1&QT=20,DIESEL WATCH,[공식본사정품] 디젤 DL1351040 싱글 펜던트 실버 목걸이,DL1351040,"449,650",16%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/212/240628022962212.jpeg?RS=450&SP=1&QT=20,ALIITA,알리타 미아우 목걸이 NRPU420000YG09K J1000,NRPU420000YG09K,"225,250",15%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/722/240725025292722.jpg?RS=450&SP=1&QT=20,DIESEL WATCH,[공식본사정품] 디젤 DX1454931 투톤 체인 스테인리스스틸 목걸이,N/A,"203,150",18%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/229/240628022962229.jpeg?RS=450&SP=1&QT=20,ALIITA,알리타 다이노 블루사파이어 목걸이 DINO ZAFIRO AZUL NRPU9T0025YG09K,AZUL,"248,620",15%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/195/240628022962195.jpeg?RS=450&SP=1&QT=20,ALIITA,알리타 가토 목걸이 NRPU3E0000YG09K J1000,NRPU3E0000YG09K,"225,250",15%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/204/240628022962204.jpeg?RS=450&SP=1&QT=20,ALIITA,알리타 다이노 목걸이 NRPU890000YG09K J1000,NRPU890000YG09K,"225,250",15%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,남성 쥬얼리,남성 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/155/240628022962155.jpeg?RS=450&SP=1&QT=20,ALIITA,22 알리타 아이스 팝 목걸이 피스타치오 NRPU3I1000YG09K K8000,NRPU3I1000YG09K,"225,250",15%,N/A,N/A,N/A,,,N/A
