top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240129008506868.jpg?RS=450&SP=1,한국금거래소,한국금거래소 순금 아기발바닥 돌반지 1.875g,1.875g,"269,140",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/977/240129008506977.jpg?RS=450&SP=1,한국금거래소,한국금거래소 순금 하트첫돌 돌팔찌 7.5g,7.5g,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/777/240129008506777.jpg?RS=450&SP=1,한국금거래소,한국금거래소 돌반지 1.875g 진공포장 돌선물,1.875g,"270,350",9%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240129008506901.jpg?RS=450&SP=1,한국금거래소,한국금거래소 순금 다이아 돌반지 3.75g[순도99.9],3.75g[순도99.9],"541,350",9%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/810/240129008506810.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 아기 돌팔찌 18.75g [돌선물],18.75g,"2,572,100",14%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/894/240129008506894.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 하트리본 돌반지 3.75g[순도99.9],3.75g[순도99.9],"532,420",11%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/388/240129008506388.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 첫돌축하토끼 돌반지 3.75g,3.75g,"529,070",11%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/877/240129008506877.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 판사봉 돌반지 3.75g[순도99.9],3.75g[순도99.9],"532,420",11%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/865/240129008506865.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 아기발바닥 돌반지 3.75g,3.75g,"516,800",13%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/298/240129008506298.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 CEO 돌반지 3.75g,3.75g,"533,350",11%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/754/240214008972754.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 돌반지 3.75g 돌선물 1돈 한돈,3.75g,"515,590",14%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/280/240129008506280.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 윙크 곰돌이 돌반지 3.75g,3.75g,"533,350",11%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/741/240129008504741.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 하트토끼 돌팔찌 18.75g,18.75g,"2,569,030",14%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/908/240129008506908.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 첫돌 왕관 돌반지 3.75g[순도99.9],3.75g[순도99.9],"515,590",14%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/367/240129008506367.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 러브레빗 돌반지 3.75g,3.75g,"529,070",11%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/928/240215009002928.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 돌반지 1.875g 돌선물 [순금24k],1.875g,"267,930",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/766/240214008972766.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 돌반지 2g 돌선물 순금24k,2g,"289,040",17%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/770/240214008972770.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 순금 돌반지 3g 돌선물 순금24k,3g,"418,960",16%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,돌선물/돌반지,https://image.sivillage.com/upload/C00001/s3/goods/org/760/240129008506760.jpg?RS=450&SP=1&QT=20,한국금거래소,한국금거래소 돌반지 3.75g 진공포장 돌선물 1돈 한돈,3.75g,"518,660",13%,N/A,N/A,N/A,,,N/A
