top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/242/240726025444242.jpg?RS=450&SP=1,VOV,스티치 포켓 코팅 스키니 진,N/A,"207,200",20%,N/A,N/A,신상,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/240/240621022317240.jpg?RS=450&SP=1,ARMANI EXCHANGE,여성 로고 레더 패치 데님 진,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/383/240827029421383.jpg?RS=450&SP=1,YCH,SLITS BOOTCUT JEANS,SLITS,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/384/240827029421384.jpg?RS=450&SP=1,YCH,BUTTONED BOOTCUT JEANS,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/934/240812027282934.jpg?RS=450&SP=1&QT=20,YCH,BUTTONED BOOTCUT JEANS,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240827029421346.jpg?RS=450&SP=1&QT=20,YCH,SLITS BOOTCUT JEANS,SLITS,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/s3/goods/org/953/240202008707953.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 닥스 반타 사이즈미 진 WE888Z-162,N/A,"201,600",30%,N/A,N/A,N/A,,,세일
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/goods/org/655/231117007081655.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,[SAINT LAURENT] 23FW 미드 라이즈 스키니진 블랙 602798 YW500 1280,LAURENT],"313,650",27%,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/goods/org/660/231117007081660.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,[SAINT LAURENT] 23FW 캐롯 슬림핏 데님진 연청 601504 YM372 4568,LAURENT],"313,650",27%,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/goods/org/687/231117007081687.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,[SAINT LAURENT] 23FW 하이웨스트 스키니진 흑청 542774 YV869 1122,LAURENT],"313,650",27%,N/A,N/A,N/A,,,N/A
여성의류,데님,스키니,https://image.sivillage.com/upload/C00001/goods/org/668/231117007081668.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,[SAINT LAURENT] 23FW 클래식 스키니 데님진 블랙 527379 Y824K 1076,LAURENT],"313,650",27%,N/A,N/A,N/A,,,N/A
