top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/867/240813027511867.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,여성 로고 패치 밴딩 헴 라운지 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/873/240813027511873.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,여성 로고 패치 밴딩 헴 라운지 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/861/240813027511861.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,여성 로고 패치 밴딩 헴 라운지 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/828/240813027511828.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,여성 후디드 로고 패치 라운지 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/887/240813027511887.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 이글 로고 패치 라운지 베스트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/573/240826029275573.jpg?RS=450&SP=1&QT=20,JAJU,여 더블 코튼 루즈핏 파자마 티셔츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","아이보리,베이지,챠콜",N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/085/240816027906085.jpg?RS=450&SP=1&QT=20,JAJU,남녀공용 플란넬 파자마 셔츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png","올리브,네이비,브라운",N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/080/240816027906080.jpg?RS=450&SP=1&QT=20,JAJU,남녀공용 플란넬 파자마 베스트,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png","다크 네이비,올리브",N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/320/240813027496320.jpg?RS=450&SP=1&QT=20,JAJU,여 이중지 체크 파자마 셔츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","라이트 핑크,라이트 그레이",N/A
여성의류,라운지/파자마,파자마 상의,https://image.sivillage.com/upload/C00001/s3/goods/org/372/240612020907372.jpg?RS=450&SP=1&QT=20,JAJU,여 소프트 7부 파자마 티셔츠,N/A,N/A,N/A,5,3,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","다크 네이비,라이트 베이지,네이비",N/A
