top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/330/240813027496330.jpg?RS=450&SP=1,JAJU,여 이중지 체크 파자마 팬츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","라이트 핑크,라이트 그레이",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/227/240816027906227.jpg?RS=450&SP=1,JAJU,남녀공용 플란넬 파자마 팬츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","올리브,브라운,네이비",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/709/240715024614709.jpg?RS=450&SP=1,JAJU,남녀공용 코튼 파자마 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","라이트 네이비,라이트 브라운,라이트 그레이",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/516/240612020907516.jpg?RS=450&SP=1,JAJU,여 소프트 파자마 팬츠,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트 베이지,네이비,다크 네이비",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/645/240708024150645.jpg?RS=450&SP=1&QT=20,JAJU,여 60수 코튼 10부 파자마 팬츠,N/A,N/A,N/A,4.9,75,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_110039_210514154509.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%98%90%EB%A1%9C%EC%9A%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/07_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%98%A4%EB%A0%8C%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/goods/color/0000626.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","블루,핑크,다크 브라운,라이트 그레이,라이트 옐로우,라이트 오렌지,라이트 블루,네이비,다크 네이비,그레이",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/264/240708024151264.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 파자마 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","라이트 베이지,네이비,챠콜",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/730/240205008783730.jpg?RS=450&SP=1&QT=20,JAJU,여 스마트 코튼 10부 파자마 팬츠,N/A,N/A,N/A,4.9,23,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","아이보리,네이비,다크 네이비,멜란지 그레이,챠콜",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240715024614705.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 립 와이드 파자마 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","블랙,브라운,라이트 그레이,멜란지 그레이",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/260/240708024151260.jpg?RS=450&SP=1&QT=20,JAJU,여 피치스킨 파자마 팬츠,N/A,N/A,N/A,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png","라이트 그레이,네이비,다크 네이비,라이트 핑크",N/A
여성의류,라운지/파자마,파자마 하의,https://image.sivillage.com/upload/C00001/s3/goods/org/184/240708024151184.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 도트 파자마 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","챠콜,베이지,멜란지 그레이",N/A
