top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/518/240612020958518.jpg?RS=450&SP=1,STELLA McCARTNEY,[여성]체크 패턴 케이프 울 셔츠,N/A,"1,662,500",5%,N/A,N/A,N/A,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/539/240715024610539.jpg?RS=450&SP=1,SACAI,[여성]슬릿 디테일 포플린 셔츠,N/A,"978,500",5%,N/A,N/A,N/A,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240828029605868.jpg?RS=450&SP=1,VOV,[AR/CHIVE] 스트라이프 레이어드 포켓 셔츠,N/A,"207,200",20%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png","카키,블루",N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/775/240826029289775.jpg?RS=450&SP=1,REFORMATION,레이스 카라 롱 슬리브 블라우스 (Vivi Top),N/A,"361,000",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/467/240802026006467.jpg?RS=450&SP=1&QT=20,G-CUT,프린트 스냅 포켓 데님 셔츠,N/A,N/A,N/A,5,1,N/A,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/701/240826029289701.jpg?RS=450&SP=1&QT=20,REFORMATION,플라워 레이스 린넨 블라우스 (Anabella Linen Top),(Anabella,"285,000",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/269/240829029790269.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] ORB 스터드 점보 탑,N/A,"2,736,000",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/232/240829029790232.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 타이다이 데님 셔츠,N/A,"2,166,000",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/368/240830029980368.jpg?RS=450&SP=1&QT=20,SACAI,[여성]코튼 실크 믹스 플레어 셔츠,N/A,"1,586,500",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/361/240830029980361.jpg?RS=450&SP=1&QT=20,SACAI,[여성]코튼 실크 믹스 플레어 셔츠,N/A,"1,586,500",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/824/240725025323824.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,원포켓 체크 셔츠,N/A,N/A,N/A,5,3,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/712/240829029785712.jpg?RS=450&SP=1&QT=20,HERNO,여성 타이 디테일 코튼 셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/402/240814027642402.jpg?RS=450&SP=1&QT=20,VOV,[AR/CHIVE] 레이스 디테일 백 슬릿 블라우스,N/A,"263,200",20%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/938/240828029605938.jpg?RS=450&SP=1&QT=20,G-CUT,사이드 스트링 스트라이프 셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/619/240826029289619.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 스탠드 카라 더블 버튼업 블라우스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/125/240701023219125.jpg?RS=450&SP=1&QT=20,G-CUT,니트 베스트 패치 블라우스,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png","화이트,블루",N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/750/240729025616750.jpg?RS=450&SP=1&QT=20,G-CUT,스트링 레이스 카라 블라우스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/707/240826029289707.jpg?RS=450&SP=1&QT=20,REFORMATION,플라워 레이스 스트라이프 블라우스 (Margot Top),(Margot,"323,000",5%,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/510/240802025966510.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,라인스톤 카라 크롭트 셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,블라우스/셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/160/240821028548160.jpg?RS=450&SP=1&QT=20,REFORMATION,플라워 레이스 린넨 블라우스 (Anabella Linen Top),(Anabella,"285,000",5%,N/A,N/A,신상,,,N/A
