top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/682/240626022773682.jpg?RS=450&SP=1,SACAI,[여성]백 플리티드 나일론 카고 스커트,N/A,"1,073,500",5%,N/A,N/A,N/A,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/614/240626022773614.jpg?RS=450&SP=1,SACAI,[여성]백 플리티드 나일론 카고 스커트,N/A,"1,073,500",5%,N/A,N/A,N/A,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/485/240828029603485.jpg?RS=450&SP=1,HERNO,여성 새틴 밴딩 플레어 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/273/240719024896273.jpg?RS=450&SP=1,DELLA LANA,플리티드 백 슬릿 울 스커트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/583/240805026212583.jpg?RS=450&SP=1&QT=20,VOV,나일론 플레어 스커트,N/A,"207,200",20%,5,1,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/687/240830029959687.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 풀온 필러 스커트,N/A,"931,000",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/589/240828029603589.jpg?RS=450&SP=1&QT=20,HERNO,여성 사이드 슬릿 밴딩 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240829029776567.jpg?RS=450&SP=1&QT=20,HERNO,여성 사이드 슬릿 밴딩 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240826029289347.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]백 버클 스트랩 A라인 스커트,N/A,"1,073,500",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/867/240802026005867.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,일자 플리츠 스커트,N/A,N/A,N/A,5,2,신상,,,N/A
여성의류,스커트,롱/맥시,https://image.sivillage.com/upload/C00001/s3/goods/org/702/240820028335702.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 원 턱 밴딩 플레어 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
