top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/465/240806026434465.jpg?RS=450&SP=1,SACAI,[여성]스트링 밴딩 플리츠 스커트,N/A,"1,301,500",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/532/240626022773532.jpg?RS=450&SP=1,SACAI,[여성]사이드 플리츠 나일론 트윌 스커트,N/A,"1,035,500",5%,5,2,N/A,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/471/240829029793471.jpg?RS=450&SP=1,G-CUT,프론트 슬릿 드로스트링 스커트,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","카키,블랙",N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/828/240828029604828.jpg?RS=450&SP=1,HERNO,여성 글로시 새틴 플레어 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/795/240828029604795.jpg?RS=450&SP=1&QT=20,HERNO,여성 글로시 새틴 플레어 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/899/240417014050899.jpg?RS=450&SP=1&QT=20,G-CUT,페이크 레더 H라인 스커트,N/A,"125,300",30%,5,7,신상,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/355/240826029289355.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]프론트 드로스트링 밴딩 울 스커트,N/A,"1,377,500",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/767/240612020944767.jpg?RS=450&SP=1&QT=20,G-CUT,투 턱 플리츠 자수 로고 스커트,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","챠콜,블랙",N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/527/240821028548527.jpg?RS=450&SP=1&QT=20,ERDEM,볼륨 미디 스커트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,스커트,미디,https://image.sivillage.com/upload/C00001/s3/goods/org/071/240820028378071.jpg?RS=450&SP=1&QT=20,SACAI,[여성]초크 스트라이프 플리츠 스커트,N/A,"1,358,500",5%,N/A,N/A,신상,,,N/A
