top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240621022300868.jpg?RS=450&SP=1,STUDIO TOMBOY,밴딩 플레어 스커트,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","다크베이지,블랙",N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/s3/goods/org/569/240807026550569.jpg?RS=450&SP=1,STUDIO TOMBOY,피그먼트 쭈리 롱스커트,N/A,N/A,N/A,5,3,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_03_%EC%98%A4%ED%8A%B8%EB%B0%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","오트밀,그레이",N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/s3/goods/org/997/240719024885997.jpg?RS=450&SP=1,STUDIO TOMBOY,코듀로이 밴딩스커트,N/A,"95,200",20%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","라이트베이지,블랙",N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/s3/goods/org/808/240812027285808.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00035_582 06A 08A,W04GSKW00035_582,"496,850",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/goods/org/751/220830003034751.jpg?RS=450&SP=1&QT=20,KIMZISU,Velvet Draped Slit Long Skirt _ Green,Velvet,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/goods/org/957/220830003034957.jpg?RS=450&SP=1&QT=20,KIMZISU,Velvet Draped Slit Long Skirt _ Blue Grey,Velvet,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/goods/org/365/220930003234365.jpg?RS=450&SP=1&QT=20,VOKEN,REESE 밴딩로고 샤스커트 PEACH BEIGE (10/14 예약발송),BEIGE,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/goods/org/607/220512002492607.jpg?RS=450&SP=1&QT=20,BERMUDA GRASS,밑단 밴딩 H라인 패딩 큐롯_CHARCOAL,큐롯_CHARCOAL,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/goods/org/806/220830003035806.jpg?RS=450&SP=1&QT=20,KIMZISU,Satin Draped Slit Mini Skirt _ Black,Slit,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,스웻/밴딩,https://image.sivillage.com/upload/C00001/goods/org/587/220830003034587.jpg?RS=450&SP=1&QT=20,KIMZISU,Velvet Draped Slit Long Skirt _ Cream,Velvet,N/A,N/A,N/A,N/A,N/A,,,N/A
