top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/562/240719024911562.jpg?RS=450&SP=1,BURBERRY,[BURBERRY] 버버리 여성 패딩 코트 BURNISTON 8072715 A1189,N/A,"1,933,750",36%,5,1,N/A,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/125/240826029292125.jpg?RS=450&SP=1,NOBIS,[24FW] ILA 일라 여성 벨티드 다운 코트,ILA,"1,662,500",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png,https://image.sivillage.com/upload/C00001/goods/color/0000370.png","블랙,토프",N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/832/240830029958832.jpg?RS=450&SP=1,BLAUER,24FW 블라우어 패딩 24WBLDC02041006648 100BI White,24WBLDC02041006648,"547,400",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/669/240830029958669.jpg?RS=450&SP=1,BLAUER,24FW 블라우어 패딩 24WBLDK02042006648 683EG Green,24WBLDK02042006648,"594,150",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/863/240830029958863.jpg?RS=450&SP=1&QT=20,LIU JO,23FW 리우조 패딩 MF3068E0392 95320 Green,Green,"390,150",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/687/240830029958687.jpg?RS=450&SP=1&QT=20,THE NORTH FACE,24SS 노스페이스 패딩 NF0A87T8 QLI1 White,QLI1,"505,750",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/722/240830029958722.jpg?RS=450&SP=1&QT=20,BURBERRY,24SS 버버리 패딩 8049868 Beige,Beige,"1,729,750",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/774/240830029958774.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDC02314006631 999 Black,24WBLDC02314006631,"576,300",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/673/240830029958673.jpg?RS=450&SP=1&QT=20,FAY,23FW 페이 패딩 NAW33473500GOS B999 Black,NAW33473500GOS,"1,767,150",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/907/240830029958907.jpg?RS=450&SP=1&QT=20,LIU JO,23FW 리우조 패딩 MF3067T3173 10701 Yellow Cream,Yellow,"527,000",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/846/240830029958846.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDC03048006047 100BI White,24WBLDC03048006047,"855,100",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/836/240830029958836.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDK03052006047 100BI White,24WBLDK03052006047,"1,059,100",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/794/240830029958794.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDC03048006047 999CB Black,24WBLDC03048006047,"855,100",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/782/240830029958782.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDK02042006648 999EI Black,24WBLDK02042006648,"594,150",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/778/240830029958778.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDC02041006648 999EI Black,24WBLDC02041006648,"547,400",15%,N/A,N/A,신규입고,,,N/A
여성의류,아우터,다운/패딩,기능성,https://image.sivillage.com/upload/C00001/s3/goods/org/770/240830029958770.jpg?RS=450&SP=1&QT=20,BLAUER,24FW 블라우어 패딩 24WBLDK03052006047 999CB Black,24WBLDK03052006047,"1,059,100",15%,N/A,N/A,신규입고,,,N/A
