top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/085/240821028548085.jpg?RS=450&SP=1,SACAI,[여성]볼륨 슬리브 후드 집업 자켓,N/A,"845,500",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/190/240823028895190.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 리브드 라운드넥 슬림 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/455/240805026275455.jpg?RS=450&SP=1,VUORI,[여성] 엘리호 레인 자켓,N/A,"259,200",19%,5,1,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png","블랙,카키",N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/240/240823028895240.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 후디드 크롭트 퍼 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/212/240823028895212.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 후디드 크롭트 퍼 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/043/240808026712043.jpg?RS=450&SP=1&QT=20,DELLA LANA,울 캐시미어 숄 자켓,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","올리브,다크 네이비",N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/738/240802025966738.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,핫픽스 로고 벨벳 후드 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/075/240821028548075.jpg?RS=450&SP=1&QT=20,SACAI,[여성]볼륨 슬리브 후드 집업 자켓,N/A,"845,500",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/068/240821028548068.jpg?RS=450&SP=1&QT=20,SACAI,[여성]나일론 트윌 후디드 집업 자켓,N/A,"1,263,500",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,자켓,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/061/240821028548061.jpg?RS=450&SP=1&QT=20,SACAI,[여성]나일론 트윌 후디드 집업 자켓,N/A,"1,263,500",5%,5,1,신상,,,N/A
