top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/991/240704023595991.jpg?RS=450&SP=1,ILAIL,백 플리츠 후드 집업 점퍼,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000721.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","에크루,블랙",N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/541/240611020842541.jpg?RS=450&SP=1,VOV,[리오더] 스냅 버튼 나일론 후드 점퍼,N/A,"251,300",30%,N/A,N/A,N/A,,,N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/235/240614021164235.jpg?RS=450&SP=1,G-CUT,[리오더] 백 프린트 하이넥 집업 점퍼,N/A,"159,520",20%,5,4,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","카키,블랙,카키,블랙",N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/416/230907006322416.jpg?RS=450&SP=1,VOV,[V-SPORTS] 나일론 점퍼,N/A,"143,600",60%,5,18,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","화이트,화이트",N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/519/230213004178519.jpg?RS=450&SP=1&QT=20,VOV,[V-SPORTS] 집업 점퍼,N/A,"143,640",64%,5,8,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","화이트,네이비",N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/928/240826029262928.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 아웃포켓 블루종 점퍼 TWJUN7202-101,N/A,"269,100",10%,N/A,N/A,N/A,,,N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/935/240826029262935.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 아웃포켓 블루종 점퍼 TWJUN7202-199,N/A,"269,100",10%,N/A,N/A,N/A,,,N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/820/240826029262820.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 하이넥 아노락 점퍼 TWJUN7102-509,N/A,"233,100",10%,N/A,N/A,N/A,,,N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/921/240826029262921.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 하이넥 아노락 점퍼 TWJUN7102-199,N/A,"233,100",10%,N/A,N/A,N/A,,,N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/061/240813027493061.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 반팔 카라 점퍼 TWJUN7101-403,N/A,"287,100",10%,N/A,N/A,N/A,,,N/A
여성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/508/240813027493508.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 반팔 카라 점퍼 TWJUN7101-199,N/A,"287,100",10%,N/A,N/A,N/A,,,N/A
