top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/207/240808026728207.jpg?RS=450&SP=1,STUDIO TOMBOY,토글장식 라운드 숏점퍼,N/A,N/A,N/A,5,1,신상,,,N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/623/240829029790623.jpg?RS=450&SP=1,VOV,[AR/CHIVE] 디태처블 후드 스트링 헴 점퍼,N/A,N/A,N/A,4,1,신상,,,N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240802026006344.jpg?RS=450&SP=1,VOV,[AR/CHIVE] 백 엠브로이더리 글로시 점퍼,N/A,"287,200",20%,N/A,N/A,신상,,,N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/073/240808026728073.jpg?RS=450&SP=1,STUDIO TOMBOY,숏 트렌치점퍼,N/A,N/A,N/A,5,2,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트베이지,다크 네이비",N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/475/240828029553475.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,토글장식 스타디움 점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","챠콜,블랙",N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/960/240726025427960.jpg?RS=450&SP=1&QT=20,G-CUT,백 레터링 스냅 버튼 점퍼,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/013/240807026551013.jpg?RS=450&SP=1&QT=20,VOV,데님 믹스 니트 후드 점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/215/240808026728215.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,코팅 캐주얼점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_03_%EB%8B%A4%ED%81%AC_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","다크카키,블랙",N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/012/240819028283012.jpg?RS=450&SP=1&QT=20,VOV,[AR/CHIVE] 드롭 숄더 스트링 나일론 점퍼,N/A,"319,200",20%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","카키,블랙",N/A
여성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/043/240808026734043.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,톰본딩 후드점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%B9%B4%ED%82%A4.png","라이트베이지,라이트 카키",N/A
