top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/836/240830029979836.jpg?RS=450&SP=1,RICK OWENS,[WOMEN] 아치 로고 헤비 니티드 판초,N/A,"4,636,000",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/865/240828029604865.jpg?RS=450&SP=1,HERNO,여성 패딩 패치 프린지 헴 판초,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/661/240826029297661.jpg?RS=450&SP=1,GIORGIO ARMANI,여성 벨티드 스트레치 울 롱 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/547/240730025685547.jpg?RS=450&SP=1,DELLA LANA,플랩 포켓 벨티드 미디 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/660/240705023841660.jpg?RS=450&SP=1&QT=20,STELLA McCARTNEY,벨티드 헤링본 트렌치 코트,N/A,"4,721,500",5%,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/613/240705023841613.jpg?RS=450&SP=1&QT=20,STELLA McCARTNEY,볼 체인 클로저 니티드 케이프,N/A,"3,277,500",5%,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/goods/org/209/220907003086209.jpg?RS=450&SP=1&QT=20,VOV,[공식몰 단독] 캐시미어 블렌드 오버사이즈 벨티드 가운 코트,N/A,N/A,N/A,5,13,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_04_%EC%B9%B4%EB%A9%9C.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","카멜,블랙",N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/422/240718024820422.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 후드 벨티드 울 케이프 판초,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/135/240624022514135.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 벹티드 카고 데님 더블 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/536/240725025284536.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]사이드 오픈 슬리브리스 코트,N/A,"2,270,500",5%,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/521/240701023217521.jpg?RS=450&SP=1&QT=20,HERNO,여성 알파카 울 니트 벨티드 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/147/240717024766147.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 리브드 터틀넥 벨티드 니트 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/429/240718024820429.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 후드 벨티드 울 케이프 판초,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,벨티드/케이프,https://image.sivillage.com/upload/C00001/s3/goods/org/850/240611020852850.jpg?RS=450&SP=1&QT=20,PAUL SMITH,여성 벨티드 래글런 롱 코트,N/A,"3,240,000",10%,N/A,N/A,N/A,,,N/A
