top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/632/240813027511632.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 여성 메탈릭 패디드 브라질리언 바디수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/623/240813027511623.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 여성 샤이닝 플라워 언패디드 바디수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/716/240205008783716.jpg?RS=450&SP=1,JAJU,여 노라인 브라 이너원피스,N/A,N/A,N/A,5,21,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,블랙",N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240829029790705.jpg?RS=450&SP=1,HANRO,한로 Emma Sleeveless 나이트 잠옷 드레스 95 cm ( morning glow 74920),Sleeveless,"418,500",10%,N/A,N/A,신규입고,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/011/240829029791011.jpg?RS=450&SP=1&QT=20,HANRO,한로 Urban Casuals Dress (white 78822) 100% 면 캐쥬얼 브이넥 드레스 (허리끈 포함),Casuals,"621,000",10%,N/A,N/A,신규입고,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/936/240821028508936.jpg?RS=450&SP=1&QT=20,HANRO,한로 조세핀 NW 스파게티 드레스 90 cm (peach whip 74936) 여성스러운 레이스 슬립 원피스 HANRO_KOREA,N/A,"376,650",19%,N/A,N/A,신규입고,,,세일
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240821028502347.jpg?RS=450&SP=1&QT=20,HANRO,한로 Simone Sleeveless 나이트 잠옷 드레스 100 cm (white 74905) 면 100%,Sleeveless,"332,100",19%,N/A,N/A,신규입고,,,세일
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/372/230414004714372.jpeg?RS=450&SP=1&QT=20,02ARMOIRE,Blake Dress _ Beige,Blake,"214,200",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/359/230414004714359.jpeg?RS=450&SP=1&QT=20,02ARMOIRE,Blake Dress _ White,Blake,"214,200",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240819028269493.jpg?RS=450&SP=1&QT=20,MIU MIU,미우미우 MF5397 122R F0002 로고 스트레치 저지 미니 여성 원피스,N/A,"1,691,500",29%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/460/240704023592460.jpg?RS=450&SP=1&QT=20,POLO RALPH LAUREN,폴로랄프로렌 여성 미디 네이비/화이트 원피스 211891428 001,N/A,"357,850",24%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/518/230111003822518.jpg?RS=450&SP=1&QT=20,GIANNA,Love Someone Long SL 러브 썸원 롱 슬립,Love,"157,500",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/934/200305000611934.jpg?RS=450&SP=1&QT=20,GIANNA,Drama GR Camisole 드라마 그린 캐미솔,GR,"145,800",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/221/210513001228221.jpg?RS=450&SP=1&QT=20,GIANNA,Drama Vanilla Camisole SET드라마 바닐라 캐미솔세트,Vanilla,"146,700",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/823/201111000966823.jpg?RS=450&SP=1&QT=20,GIANNA,Drama Purple Camisole 드라마 퍼플 캐미솔,Purple,"145,800",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/543/240411013426543.jpg?RS=450&SP=1&QT=20,GIANNA,Lily Long Slip 릴리 롱 슬립,Lily,"154,800",10%,5,1,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/674/200415000672674.jpg?RS=450&SP=1&QT=20,GIANNA,White Cotton Camisole 화이트 면 캐미솔,Camisole,"136,800",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/535/240411013426535.jpg?RS=450&SP=1&QT=20,GIANNA,Cotton Black Jumpsuit 코튼 블랙 점프수트,Black,"152,100",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240411013425567.jpg?RS=450&SP=1&QT=20,GIANNA,Allure Peach SL 얼루어 피치 롱슬립,Allure,"157,500",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/965/240409013275965.jpg?RS=450&SP=1&QT=20,GIANNA,Purple Daisy Bra SL 퍼플 데이지 브라슬립,Purple,"152,100",10%,N/A,N/A,N/A,,,N/A
여성의류,언더웨어,슬립/원피스,https://image.sivillage.com/upload/C00001/goods/org/910/230610005395910.jpg?RS=450&SP=1&QT=20,GIANNA,Lilac Long Slip 라일락 롱슬립,Lilac,"148,500",10%,N/A,N/A,N/A,,,N/A
