top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/219/240308010046219.jpg?RS=450&SP=1,JAJU,여 코튼 리프 힙허거 팬티 3매,N/A,N/A,N/A,4.9,121,인기,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","베이지,네이비,핑크,그레이",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/518/240213008944518.jpg?RS=450&SP=1,JAJU,여 모달 노라인 힙허거 팬티 3매,N/A,N/A,N/A,4.9,50,인기,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png","핑크,블랙,베이지",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/532/240213008944532.jpg?RS=450&SP=1,JAJU,여 모달 저자극 힙허거 팬티 3매,N/A,N/A,N/A,4.9,53,인기,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,브라운,블랙",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/449/240205008783449.jpg?RS=450&SP=1,JAJU,여 120수 모달 노라인 힙허거 팬티,N/A,N/A,N/A,5,63,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png","블랙,그레이,베이지",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/263/240226009434263.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 스트라이프 힙허거 팬티 3매,N/A,N/A,N/A,4.9,67,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","베이지,네이비,핑크,그레이",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/422/240813027511422.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 샤이닝 플라워 메쉬 티팬티,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/418/240813027511418.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 샤이닝 플라워 메쉬 티팬티,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/776/240812027288776.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 링 커넥션 플라워 메쉬 브리프,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/129/240814027642129.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 링 커넥션 플라워 메쉬 브리프,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/776/240813027511776.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 링 커넥션 플라워 메쉬 브리프,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240812027288772.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 플라워 메쉬 브라질리언 브리프,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240813027511772.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 플라워 메쉬 브라질리언 브리프,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/125/240814027642125.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 플라워 메쉬 브라질리언 브리프,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/428/240813027511428.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,여성 링 커넥션 메탈릭 립 티팬티,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/617/240314010939617.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 스트레치 힙허거 팬티 3매,N/A,"9,900",37%,4.9,63,인기,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png","베이지,블루",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/575/240205008783575.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 위생 힙허거 팬티 3매,N/A,N/A,N/A,5,57,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_050088_210923163538.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,브라운,블랙",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/633/240205008783633.jpg?RS=450&SP=1&QT=20,JAJU,여 720도 스트레치 노라인 2부 보이쇼츠 팬티,N/A,N/A,N/A,4.9,51,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_080018_210114011352.png","챠콜,베이지,오렌지",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/885/240612020907885.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 힙허거 팬티,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png","아이보리,브라운",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/goods/org/428/230721005777428.jpg?RS=450&SP=1&QT=20,JAJU,여 모달 저자극 하이라이즈 팬티 3매,N/A,"12,900",35%,4.9,85,인기,,,N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/785/240205008783785.jpg?RS=450&SP=1&QT=20,JAJU,여 720도 스트레치 코튼 2부 보이쇼츠 팬티,N/A,N/A,N/A,4.7,31,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,블랙",N/A
여성의류,언더웨어,팬티/드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/856/240424014626856.jpg?RS=450&SP=1&QT=20,JAJU,여 라이트립 아웃밴드 크롭브라,N/A,N/A,N/A,5,23,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png","그레이,아이보리,베이지",N/A
