top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/678/240830029959678.jpg?RS=450&SP=1,RICK OWENS,[WOMEN] [DRKSHDW] 소프트 코튼 카고 팬츠,N/A,"1,596,000",5%,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/737/240828029605737.jpg?RS=450&SP=1,HERNO,여성 메탈릭 플란넬 밴딩 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/746/240802025966746.jpg?RS=450&SP=1,PHILIPP PLEIN,로고 핫픽스 벨벳 조거 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/537/240712024476537.jpg?RS=450&SP=1,G-CUT,스트링 로고 밴딩 저지 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","멜란지 그레이,블랙",N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/360/240814027642360.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 하이라이즈 스트링 조거 팬츠,N/A,"1,073,500",5%,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/877/240814027642877.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 마스토돈 컷 조거 팬츠,N/A,"1,216,000",5%,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/865/240814027642865.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 스냅 버튼 와이드 스웨트 팬츠,N/A,"1,596,000",5%,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/855/240814027642855.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 스냅 버튼 와이드 스웨트 팬츠,N/A,"1,596,000",5%,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240502015363756.jpg?RS=450&SP=1&QT=20,VUORI,[여성] 헤일로 에센셜 와이드레그,N/A,"137,700",19%,4,4,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000721.png","블랙,에크루",N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/739/240806026434739.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[FEMME]지퍼 슬릿 울 조거 팬츠,N/A,"1,472,500",5%,N/A,N/A,신상,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/264/240801025857264.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 드로스트링 크롭트 울 팬츠,N/A,"1,406,000",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/130/240723025157130.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]플리티드 개버딘 조거 팬츠,N/A,"1,225,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/614/240627022882614.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,웨빙 테이프 디테일 트랙 팬츠,N/A,"997,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/606/240627022882606.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,웨빙 테이프 디테일 트랙 팬츠,N/A,"997,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/450/240627022882450.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,퍼프 로고 밴딩 조거 팬츠,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/443/240627022882443.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,퍼프 로고 밴딩 조거 팬츠,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/436/240627022882436.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,퍼프 로고 밴딩 조거 팬츠,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/611/240716024694611.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,레이온 와이드 벌룬 팬츠,N/A,"1,282,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/370/240708024165370.jpg?RS=450&SP=1&QT=20,STELLA McCARTNEY,페이크 레더 스트링 조거 팬츠,N/A,"1,073,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/905/240723025156905.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,여성 사이드 버클 립스탑 패디드 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/512/240621022317512.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 드로스트링 벨루어 롱 팬츠,N/A,"1,881,000",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/541/240621022317541.jpg?RS=450&SP=1&QT=20,VOV,[리오더] 스트레치 나일론 조거 팬츠,N/A,N/A,N/A,4.5,2,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/206/240725025313206.jpg?RS=450&SP=1&QT=20,VOV,[BASQUIAT] 배색 라인 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","라이트 네이비,그레이",N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/498/240621022317498.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 레이온 블렌드 크롭 팬츠,N/A,"1,406,000",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/511/240627022882511.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,글로시 스트레치 폴리 트랙 팬츠,N/A,"997,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/491/240621022317491.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 레이온 블렌드 크롭 팬츠,N/A,"1,406,000",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/242/240530018922242.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 백 엠보 이글 트랙 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/153/240529018826153.jpg?RS=450&SP=1&QT=20,HERNO,여성 플리티드 이지 나일론 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/505/240621022317505.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 드로스트링 벨루어 롱 팬츠,N/A,"1,881,000",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/827/240716024683827.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,여성 샤이닝 로고 패치 조거 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/131/240618021755131.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,여성 리브드 스트링 헴 밴딩 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240627022882504.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,글로시 스트레치 폴리 트랙 팬츠,N/A,"997,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/484/240621022317484.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] 하이라이즈 스트링 크롭 팬츠,N/A,"1,121,000",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240628023011346.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 로고 패치 라인 밴딩 조거 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/360/240626022773360.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 스트링 헴 플랩 포켓 파라슈트 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/293/240626022773293.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 스트링 헴 플랩 포켓 파라슈트 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/338/240628023011338.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 백 이글 로고 루즈 핏 밴딩 팬츠,N/A,N/A,N/A,5,1,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/095/240603019439095.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,여성 니트 레이어드 벌룬 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/859/240716024683859.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,여성 샤이닝 로고 패치 조거 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/815/240627022881815.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,여성 자수 로고 밴딩 조거 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/908/240723025154908.jpg?RS=450&SP=1&QT=20,G-CUT,핀턱 파이핑 라인 트레이닝 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","아이보리,네이비,레드",N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/188/240723025157188.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]웨이스트 스트링 배기 팬츠,N/A,"674,500",5%,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/088/240529018826088.jpg?RS=450&SP=1&QT=20,HERNO,여성 플리티드 이지 나일론 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,팬츠,조거/트랙/스웻,https://image.sivillage.com/upload/C00001/s3/goods/org/033/240529018826033.jpg?RS=450&SP=1&QT=20,HERNO,여성 플리티드 이지 나일론 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
