top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/389/240813027509389.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 로고 슬리브 니트 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/439/240813027509439.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 로고 슬리브 니트 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/385/240812027287385.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 남아 가디건 W04BCAK00003_260B 04A 06A 08A,N/A,"620,350",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png","라이트 브라운,라이트 브라운",N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/428/240812027287428.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24PF 남아 가디건 P04BCAK00003 _215 04A 06A 08A,N/A,"363,850",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png","라이트 블루,라이트 블루",N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/397/240812027287397.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 남아 가디건 W04BCAK00010_270 04A 06A 08A,N/A,"496,850",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","다크 네이비,다크 네이비",N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/391/240812027287391.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 남아 가디건 W04BCAK00007_296 04A 06A 08A,N/A,"403,750",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","다크그레이,다크그레이",N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/703/240820028318703.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 B.C 빈티지 컬러 블록 가디건 B224AC121,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/726/240830029950726.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 KIDS 24FW 옐로우 체크 메시 카디건 8089169 YELLOW/12A,YELLOW/12A,"537,200",21%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/719/240830029950719.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 KIDS 24FW 옐로우 체크 메시 카디건 8089169 YELLOW/14A,YELLOW/14A,"589,900",21%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/737/240830029950737.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,"버버리 KIDS 24FW 옐로우 체크 메시 카디건 8089169 YELLOW/8A,10A","YELLOW/8A,10A","473,450",21%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/096/240903030410096.jpg?RS=450&SP=1&QT=20,IL GUFO,일 구포 여아 베이지 가디건 A24GF439EM438K_100L,A24GF439EM438K_100L,"295,200",37%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),니트/가디건/조끼,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/403/240902030286403.jpg?RS=450&SP=1&QT=20,ETRO,에트로 여아 연하늘 가디건 GV9P40K_W0033603AV,GV9P40K_W0033603AV,"548,250",39%,N/A,N/A,신규입고,,,N/A
