top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/293/240816027924293.jpg?RS=450&SP=1,A.P.C.,아페쎄 포멀 세트 WOAOR M02791 JAA KAKI Green,Green,"956,250",15%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/123/240104007903123.jpg?RS=450&SP=1,CALVIN KLEIN,23FW 주니어 캘빈클라인 트레이닝 상의 23WMCKIB0IB01114 BEH BLACK,BLACK,"212,500",15%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240509016253313.jpg?RS=450&SP=1,MSGM,23SS 주니어 엠에스지엠 트레이닝 상의 MS029546 200 MULTICOLOR,MULTICOLOR,"291,550",15%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/001/240104007903001.jpg?RS=450&SP=1,MSGM,23FW 주니어 엠에스지엠 트레이닝 상의 F3MSJUHS019 104 GREY,GREY,"257,550",15%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/202/231216007555202.jpg?RS=450&SP=1&QT=20,MARCELO BURLON,23FW 주니어 마르셀로 불론 트레이닝 상의 CBBB001F23FLE0041001 BLACK,CBBB001F23FLE0041001,"474,300",15%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/169/240503015488169.jpg?RS=450&SP=1&QT=20,BALMAIN,24SS 키즈 발망 트레이닝 상의 BU4P30 Z0001 649 BLUE,BLUE,"246,500",26%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/175/240503015488175.jpg?RS=450&SP=1&QT=20,STONE ISLAND,24SS 키즈 스톤 아일랜드 트레이닝 상의 801661640 V0022 BLUE,BLUE,"230,350",25%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/377/240824028938377.jpg?RS=450&SP=1&QT=20,BURBERRY,24FW 주니어 버버리 오버롤 8092758 A2205,N/A,"531,250",47%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/224/240502015366224.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 자카드 터틀 패턴 테리 티셔츠 (VQ-24SSGIIC4Q61306),(VQ-24SSGIIC4Q61306),"121,600",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/616/240502015364616.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 터틀 입체 패턴 코튼 티셔츠 (VQ-24SSTHYAP336390),N/A,"121,600",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/229/240502015366229.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 터틀 입체 패턴 숏 슬리브 후디드 스웻셔츠 (VQ-24SSEOGAP290104),(VQ-24SSEOGAP290104),"150,100",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/414/240502015365414.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 터틀 입체 패턴 집업 후디드 스웻셔츠 (VQ-24SSGTOC4S52390),(VQ-24SSGTOC4S52390),"188,100",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/769/240104007882769.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 스트라이프 코튼 조거 팬츠 (VQ-24CZUPAC4S70390),N/A,"150,100",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/352/240502015364352.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 코튼 플리스 버뮤다 쇼츠 (VQ-24SSGOHAP290104),(VQ-24SSGOHAP290104),"121,600",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240104007881528.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 키즈 테리 자카드 터틀 패턴 스웻셔츠 (VQ-24CZGIIC4Q61459),(VQ-24CZGIIC4Q61459),"121,600",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/816/240104007881816.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 키즈 테리 자카드 터틀 패턴 스웻셔츠 (VQ-24CZGIIC4Q61373),(VQ-24CZGIIC4Q61373),"121,600",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/221/240502015366221.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 자카드 터틀 패턴 테리 티셔츠 (VQ-24SSGIIC4Q61099),(VQ-24SSGIIC4Q61099),"121,600",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/881/240821028400881.jpg?RS=450&SP=1&QT=20,PATAGONIA,24FW 주니어 파타고니아 오버롤 68565 NENA,N/A,"342,550",45%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/432/240817027956432.jpg?RS=450&SP=1&QT=20,GUCCI,24FW 주니어 구찌 오버롤 790518XJF3F 5320,N/A,"387,600",47%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/430/240813027533430.jpg?RS=450&SP=1&QT=20,GUCCI,24SS 주니어 구찌 오버롤 770550XWA0G 4020,770550XWA0G,"549,100",67%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/233/231216007555233.jpg?RS=450&SP=1&QT=20,NIKE,23FW 주니어 나이키 트레이닝 상의 86L402 023 BLACK,86L402,"132,600",15%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/309/240816027924309.jpg?RS=450&SP=1&QT=20,VALENTINO,24FW 발렌티노 가라바니 포멀 세트 5V3CJJ80ADEWUS AI24 WHITE,N/A,"3,983,950",53%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),스포츠웨어/수영복,스포츠웨어/스포츠용품,https://image.sivillage.com/upload/C00001/s3/goods/org/993/240809026757993.jpg?RS=450&SP=1&QT=20,GUCCI,24FW 주니어 구찌 오버롤 790518XJF3F 9791,N/A,"384,200",47%,N/A,N/A,N/A,,,N/A
