top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/555/240404012952555.jpg?RS=450&SP=1,FOOTBALL STANDARD,[토트넘] 아동용 NO.10 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/423/240313010802423.jpg?RS=450&SP=1,BOBO CHOSES,보보쇼즈 24SS 보보쇼즈 레인코트 124AC155,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/511/240404012952511.jpg?RS=450&SP=1,FOOTBALL STANDARD,[토트넘] 아동용 NO.9 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240404012952567.jpg?RS=450&SP=1,FOOTBALL STANDARD,[토트넘] 아동용 NO.7 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/523/240404012952523.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[토트넘] 아동용 NO.21 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/945/240118008206945.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,보보쇼즈 24SS BC 컬러 블록 트랙수트 자켓 124AC054,N/A,N/A,N/A,5,2,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/324/240205008788324.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24SS 봄버 자켓 n01 펄 블루 T124MA049,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/636/240731025799636.jpg?RS=450&SP=1&QT=20,MONCLER,24SS 주니어 몽클레어 봄버 자켓 68352 1A000 88 032 WHITE,N/A,"240,550",26%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/065/240808026714065.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 키즈 플리스 컬러티핑 베스트 BJ2628-54N R1T,N/A,"143,100",10%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/goods/org/851/230921006443851.jpg?RS=450&SP=1&QT=20,HARVARD KIDS,하버드키즈 하버드 헤리티지바시티 점퍼 HFJP-34203 CAMEL,CAMEL,"116,100",10%,N/A,N/A,N/A,,,세일
