top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/700/240213008945700.png?RS=450&SP=1,GAP Kids,[키즈 남아 6-14세] 로고 포인트 피케 셔츠 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/472/240826029301472.jpg?RS=450&SP=1,BURBERRY KIDS,[버버리 키즈] 남아 체크 폴로 티셔츠 8078568 IB5 M JOHANE CHK EKD A1189 (12-24M),N/A,"197,200",22%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/203/240825029067203.jpg?RS=450&SP=1,KENZO,24FW 주니어 겐조 티셔츠 K60739 84A,N/A,"204,850",26%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/378/240814027625378.jpg?RS=450&SP=1,BURBERRY KIDS,[버버리 키즈] 남아 체크 카라 반팔 티셔츠 8078567 KB5 JOHANE CHECK EKD A1189 (6-10)/1,N/A,"236,300",18%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/398/240814027625398.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[버버리 키즈] 남아 체크 카라 반팔 티셔츠 8078567 KB5 JOHANE CHECK EKD A1189 (12-14)/1,N/A,"236,300",23%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/377/240901030151377.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,돌체앤가바나 키즈 네이비 반팔 티셔츠 L4JTHUK_G7NNMB3681,L4JTHUK_G7NNMB3681,"294,180",37%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/411/240903030398411.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,돌체앤가바나 여아 화이트 반팔 티셔츠 L2JTKTB_II7DSHG3TN,L2JTKTB_II7DSHG3TN,"259,250",37%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/511/240903030401511.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,돌체앤가바나 키즈 버건디 반팔 티셔츠 L4JTHVK_II7CVHH5DN,L4JTHVK_II7CVHH5DN,"317,810",38%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/461/240903030401461.jpg?RS=450&SP=1&QT=20,BALMAIN,발망 여아 레드 반팔 티셔츠 BV8B71K_Z0082414RO,N/A,"263,330",37%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),티셔츠,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/552/240903030360552.jpg?RS=450&SP=1&QT=20,BALMAIN,발망 여아 핑크 반팔 티셔츠 BV8B11K_Z0082543,N/A,"311,690",38%,N/A,N/A,신규입고,,,N/A
