top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/937/240612020956937.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 로고 패턴 실크 타이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/943/240612020956943.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 로고 패턴 실크 보타이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/743/240831029994743.jpg?RS=450&SP=1,PALM ANGELS,25SS 주니어 팜앤젤스 가방 PBNB001C99FAB001 6060,N/A,"518,500",29%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/517/240831029994517.jpg?RS=450&SP=1,KENZO,24FW 주니어 겐조 가방 K60603 780,N/A,"353,600",28%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/237/240829029635237.jpg?RS=450&SP=1&QT=20,KENZO,24FW 주니어 겐조 가방 K60603 49C,N/A,"374,000",28%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/918/240903030382918.jpg?RS=450&SP=1&QT=20,BALMAIN,발망 남아 블랙 벨트 BV0P41K_Z1371930AG,BV0P41K_Z1371930AG,"224,230",34%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/903/240903030382903.jpg?RS=450&SP=1&QT=20,BALMAIN,발망 남아 블랙 벨트 BV0P41K_Z1371930OR,N/A,"224,230",34%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/599/240830029969599.jpg?RS=450&SP=1&QT=20,BURBERRY,24FW 버버리 우산 8095408 B9368,N/A,"495,550",37%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/596/240830029969596.jpg?RS=450&SP=1&QT=20,BURBERRY,24FW 버버리 우산 8095406 B9629,N/A,"495,550",37%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/998/240811027050998.jpg?RS=450&SP=1&QT=20,PALM ANGELS,24FW 주니어 팜앤젤스 가방 PBNB015C99FAB001 1001,N/A,"456,450",28%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/536/240807026585536.jpg?RS=450&SP=1&QT=20,KENZO,24FW 주니어 겐조 가방 K60617 968,N/A,"334,050",28%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/454/240903030380454.jpg?RS=450&SP=1&QT=20,MONCLER,몽클레어 앙팡 남아 블랙 선물세트 3F00001-B-M1131742,N/A,"439,190",25%,N/A,N/A,N/A,,,N/A
