top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/524/240903030338524.jpg?RS=450&SP=1,CANADA GOOSE,24FW 주니어 캐나다구스 모자 6936YNY Blue,Blue,"222,700",34%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/222/240903030414222.jpg?RS=450&SP=1,DOLCE & GABBANA,돌체앤가바나 여아 네이비 볼캡 LB4H80K_G7NOQB0309,LB4H80K_G7NOQB0309,"237,660",34%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/087/240901030184087.jpg?RS=450&SP=1,BALMAIN,발망 남아 블랙 볼캡 BV0Q37K_Z1053930BC,N/A,"201,620",36%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/049/240830029827049.jpg?RS=450&SP=1,BURBERRY,24FW 주니어 버버리 모자 8087846 B7320,N/A,"284,750",39%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/892/240829029636892.jpg?RS=450&SP=1&QT=20,FENDI,24FW 주니어 펜디 모자 JUP063AO29 F0AYG,F0AYG,"374,000",40%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/275/240814027658275.jpg?RS=450&SP=1&QT=20,CHRISTIAN DIOR,[CHRISTIAN DIOR] 24FW 키즈 플로럴 버킷햇 라이트핑크 4WBM11HATA 135,N/A,"534,650",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/270/240814027658270.jpg?RS=450&SP=1&QT=20,CHRISTIAN DIOR,[CHRISTIAN DIOR] 24FW 키즈 로고 버킷햇 화이트 4WBM23HATE 013,N/A,"398,650",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/711/240903030411711.jpg?RS=450&SP=1&QT=20,VERSACE,베르사체 키즈 블루 볼캡 1008201K_1A069231D060,N/A,"339,400",15%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/878/240903030383878.jpg?RS=450&SP=1&QT=20,PALM ANGELS KIDS,팜 엔젤스 키즈 남아 연하늘 볼캡 PBLB002K_C99FAB0014201,PBLB002K_C99FAB0014201,"235,530",15%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/776/240903030389776.jpg?RS=450&SP=1&QT=20,CANADA GOOSE,캐나다구스 키즈 블랙 비니 6936YK_61,N/A,"212,920",32%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/341/240712024497341.jpg?RS=450&SP=1&QT=20,GUCCI KIDS,[구찌 키즈] 아동 오리지널 GG 캔버스 모자 481774 3HC65 2140,GG,"245,650",22%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/571/221025003372571.jpg?RS=450&SP=1&QT=20,GAP Kids,[키즈 여아 6-14세] 트윙클 니트 비니 & 글러브,N/A,"28,080",64%,5,1,N/A,,,세트
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/260/240516017079260.jpg?RS=450&SP=1&QT=20,MONCLER,24SS 주니어 몽클레어 모자 3B00014 0U331711,N/A,"396,100",15%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/869/240729025607869.jpg?RS=450&SP=1&QT=20,MONCLER,[몽클레어] 폼폼 울 키즈 비니 3B00014 M1131 51A,N/A,"253,300",18%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/000/240903030415000.jpg?RS=450&SP=1&QT=20,MONCLER,몽클레어 앙팡 남아 네이비 울 비니 3B00005-M1131742,N/A,"201,620",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/795/240901030178795.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 키즈 여아 베이지 비니 BUP025A3TEF0LMJ,BUP025A3TEF0LMJ,"329,120",29%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/519/230429004909519.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 베이비 로고 올오버 폼폼 비니 BUP047AKQK,N/A,"573,750",23%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/988/240831030122988.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24AW 오르픽 비니 T224AE004,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/291/240712024497291.jpg?RS=450&SP=1&QT=20,GUCCI KIDS,[구찌 키즈] 아동 코튼 캔버스 베이스볼 캡 753444 3HAUC 4084,N/A,"278,800",25%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/702/230429004909702.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 키즈 23SS 옐로우 리버서블 버킷햇 JUP017AMRQ,N/A,"420,750",23%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240704023583811.jpg?RS=450&SP=1&QT=20,GUCCI KIDS,[GUCCI] 24FW 키즈 슈프림 캔버스 캡모자 481774 3HC65 2140,[GUCCI],"262,650",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/740/240725025286740.jpg?RS=450&SP=1&QT=20,STONE ISLAND,24FW 주니어 스톤 아일랜드 모자 8116N07C3 20,N/A,"252,450",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/267/240605019891267.jpg?RS=450&SP=1&QT=20,FENDI KIDS,[FENDI] 24SS 키즈 FF 로고 프린팅 캡모자 JUP004 AMRP F17QF,N/A,"407,150",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/641/240725025286641.jpg?RS=450&SP=1&QT=20,STONE ISLAND,24FW 주니어 스톤 아일랜드 모자 8116N07C3 29,N/A,"252,450",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/407/230527005299407.jpg?RS=450&SP=1&QT=20,FENDI KIDS,[펜디 키즈] FF 자카드 버킷햇 JUP057 AMNZ F15B6,N/A,"572,050",28%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/522/230429004909522.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 키즈 FF 로고 후리스 캡 모자 JUP053AKVO,N/A,"451,350",23%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/698/230429004909698.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 키즈 23SS 리버시블 베이비용 버킷햇 BUP061AMRM,N/A,"420,750",23%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/goods/org/165/230429004908165.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 키즈 빈티지 체크 테크니컬 코튼 버킷 햇 8041438,N/A,"275,400",23%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/002/240812027186002.jpg?RS=450&SP=1&QT=20,MONCLER,24FW 주니어 몽클레어 모자 3B000 06 M1241523,N/A,"225,250",37%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/228/240831030000228.jpg?RS=450&SP=1&QT=20,LANVIN,24FW 주니어 랑방 모자 N30126 M92,N/A,"258,400",44%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,모자,https://image.sivillage.com/upload/C00001/s3/goods/org/652/240902030299652.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE,골든구스 키즈 그린 면 비니 GKP01293K_P00175660545,GKP01293K_P00175660545,"116,280",29%,N/A,N/A,신규입고,,,N/A
