top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/goods/org/571/221025003372571.jpg?RS=450&SP=1,GAP Kids,[키즈 여아 6-14세] 트윙클 니트 비니 & 글러브,N/A,"28,080",64%,5,1,N/A,,,세트
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/goods/org/095/230317004502095.jpg?RS=450&SP=1,BURBERRY KIDS,[BURBERRY] 22SS 키즈 로고 자수 베이스볼 캡 미드나이트 8049541,N/A,"237,150",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/353/240819028310353.jpg?RS=450&SP=1,BOBO CHOSES,24AW 보보쇼즈 컬러 스트라이프 니트 장갑 B224AI042,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/138/240823028933138.jpg?RS=450&SP=1,GUCCI,24FW 주니어 구찌 장갑 792706 4K2061266,N/A,"243,950",40%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/351/240819028310351.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 보보 쇼즈 니트 장갑 B224AI041,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/919/240819028311919.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 컬러 블록 양가죽 장갑 B224AI043,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/345/240819028310345.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 체리 니트 글러브 B224AI039,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/923/240819028311923.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 B.C 장갑 B224AI045,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240819028310347.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 원스 어펀 어 타임 니트 장갑 B224AI040,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/584/240814027686584.jpg?RS=450&SP=1&QT=20,GUCCI,24FW 주니어 구찌 장갑 792706 4K2061266,N/A,"243,950",41%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/588/240903030413588.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 키즈 여아 베이지 플리스 미튼 장갑 8076382,N/A,"245,820",44%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/goods/org/219/230419004748219.jpg?RS=450&SP=1&QT=20,STONE ISLAND KIDS,[STONE ISLAND] 12주년 키즈 로고 자수 볼캡 블랙 741690265 V0029,ISLAND],"109,650",27%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,모자/장갑,장갑,https://image.sivillage.com/upload/C00001/goods/org/998/230207004085998.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 컴퍼스 패치 베이스볼 캡 101691265 V0020,ISLAND],"101,150",27%,N/A,N/A,N/A,,,N/A
