top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/337/240829029794337.jpg?RS=450&SP=1,CHRISTIAN DIOR,25SS 주니어 크리스챤디올 헤어 액세서리 4WBM11KDO4 Y900,N/A,"528,700",47%,N/A,N/A,신규입고,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/793/240725025282793.jpg?RS=450&SP=1,DOLCE & GABBANA,24FW 주니어 돌체앤가바나 헤어 액세서리 LB3L54 HI1T5 H23TN,LB3L54,"366,350",45%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/698/240605019932698.jpg?RS=450&SP=1,FENDI,24SS 주니어 펜디 헤어 액세서리 JFP402AMRF F1K5G,F1K5G,"337,450",43%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240828029447346.jpg?RS=450&SP=1,DOLCE & GABBANA,24FW 주니어 돌체앤가바나 헤어 액세서리 LB3L54 HI1T5H23TN,LB3L54,"350,200",45%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/791/240725025282791.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,24FW 주니어 돌체앤가바나 헤어 액세서리 LB5H09 G7EW9 H23TN,LB5H09,"238,850",43%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/865/240328012322865.jpg?RS=450&SP=1&QT=20,BURBERRY,24SS 주니어 버버리 헤어 액세서리 8078551 A8731,N/A,"258,400",54%,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/325/240813027496325.jpg?RS=450&SP=1&QT=20,LITTLE TINI,고우리 머리띠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/215/240813027496215.jpg?RS=450&SP=1&QT=20,LITTLE TINI,복숭아 헤어밴드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/277/240813027496277.jpg?RS=450&SP=1&QT=20,LITTLE TINI,복숭아 머리띠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,백/슈즈/액세서리,헤어 악세서리/선글라스/패션 잡화,헤어 악세서리,https://image.sivillage.com/upload/C00001/s3/goods/org/216/240807026580216.jpg?RS=450&SP=1&QT=20,ETRO,24FW 주니어 에트로 헤어 액세서리 GV0A54 D0103 101MC,GV0A54,"141,100",39%,N/A,N/A,N/A,,,N/A
