top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/466/231121007117466.jpg?RS=450&SP=1,GAP Kids,[베이비 남아 0-24개월] 리브드 코튼 헨리넥 바디수트 & 카고 팬츠,N/A,"25,200",55%,N/A,N/A,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/306/231019006630306.jpg?RS=450&SP=1,GAP Kids,[베이비 여아 0-24개월] 멀티 패턴 프릴 바디수트 & 이지 팬츠,N/A,"24,300",55%,5,1,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/172/221026003378172.jpg?RS=450&SP=1,GAP Kids,[베이비 여아 0-24개월] 패턴드 로고 바디수트 & 팬츠,N/A,"20,880",64%,N/A,N/A,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/049/221024003366049.jpg?RS=450&SP=1,GAP Kids,[토들러 여아 2-5세] 미니마우스 패턴 튜닉 티셔츠 & 레깅스,N/A,"22,320",64%,5,1,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/647/220822002986647.jpg?RS=450&SP=1&QT=20,GAP Kids,[토들러 여아 2-5세] 로고 패치 플로럴 후드 집업 & 조거 팬츠,N/A,"37,440",64%,5,2,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/233/230607005374233.jpg?RS=450&SP=1&QT=20,GAP Kids,[베이비 여아 0-24개월] 스트라이프 프릴 바디수트 & 블루머,N/A,"20,880",64%,5,1,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/231/230208004098231.jpg?RS=450&SP=1&QT=20,GAP Kids,[토들러 여아 2-5세] 미키 미니 하트 후드 집업 & 조거 팬츠,N/A,"41,040",64%,5,1,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/691/220822002987691.jpg?RS=450&SP=1&QT=20,GAP Kids,[토들러 여아 2-5세] 리브드 이지 크루넥 맨투맨 & 조거 팬츠,N/A,"35,280",64%,5,1,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/345/220810002938345.jpg?RS=450&SP=1&QT=20,GAP Kids,[베이비 여아 0-24개월] 패턴드 롱 슬리브 바디수트 & 팬츠,N/A,"18,720",64%,5,2,N/A,,,세트
키즈,베이비 여아 (0-3세),상/하의 세트,https://image.sivillage.com/upload/C00001/goods/org/426/231019006630426.jpg?RS=450&SP=1&QT=20,GAP Kids,[베이비 여아 0-24개월] 하트 패턴 프릴 바디수트 & 밴딩 팬츠,N/A,"24,300",55%,N/A,N/A,N/A,,,세트
