top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/717/240821028537717.jpg?RS=450&SP=1,LITTLE TINI,베티 에이프런 원피스_카키,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/714/240821028537714.jpg?RS=450&SP=1,LITTLE TINI,베티 에이프런 원피스_베이지,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/702/240821028538702.jpg?RS=450&SP=1,LITTLE TINI,에이미 원피스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/736/240612020940736.jpg?RS=450&SP=1,HELLOSIMONE,헬로시모네 24SS 베이비 안토니아 드레스 피치 SS24-ANTBDP,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/132/240417014021132.jpg?RS=450&SP=1&QT=20,LITTLE TINI,라피네르 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/421/220408002272421.jpg?RS=450&SP=1&QT=20,LITTLE TINI,브렐 드레스,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/766/240509016192766.jpg?RS=450&SP=1&QT=20,LITTLE TINI,엘리야 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/001/240221009152001.jpg?RS=450&SP=1&QT=20,LITTLE TINI,클루 원피스 [리본 세트],N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/369/240417014019369.jpg?RS=450&SP=1&QT=20,LITTLE TINI,네롤리 원피스_블루,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/144/230908006344144.jpg?RS=450&SP=1&QT=20,LITTLE TINI,애나 원피스,N/A,"32,390",5%,5,2,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/380/230223004265380.jpg?RS=450&SP=1&QT=20,LITTLE TINI,프아젤 원피스 - 핑크,N/A,N/A,N/A,5,2,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/905/240502015324905.jpg?RS=450&SP=1&QT=20,LITTLE TINI,마렌다 원피스,N/A,N/A,N/A,5,2,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/828/220425002377828.jpg?RS=450&SP=1&QT=20,LITTLE TINI,네롤리 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/791/230908006343791.jpg?RS=450&SP=1&QT=20,LITTLE TINI,티아나 원피스_민트,N/A,"41,800",5%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/429/240327012160429.jpg?RS=450&SP=1&QT=20,LITTLE TINI,수앤 원피스_핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/805/220426002384805.jpg?RS=450&SP=1&QT=20,LITTLE TINI,치즈 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/006/240326012022006.jpg?RS=450&SP=1&QT=20,TINYCOTTONS,타이니코튼 24SS 클라운 원피스 SS24-014,N/A,"61,600",30%,5,2,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/356/240228009531356.jpg?RS=450&SP=1&QT=20,TINYCOTTONS,타이니코튼 24SS 댄싱 스타 원피스 SS24-042,N/A,"61,600",30%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/960/240612020973960.jpg?RS=450&SP=1&QT=20,HELLOSIMONE,헬로시모네 24SS 코스마 베이비 걸 나나 SS24-COSBDN,N/A,"58,800",40%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/351/240612020971351.jpg?RS=450&SP=1&QT=20,HELLOSIMONE,헬로시모네 24SS 안토니아 BB 드레스 퍼플 깅엄 SS24-ANTBBPG,SS24-ANTBBPG,"46,800",40%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/607/200611000751607.jpg?RS=450&SP=1,CHOCO.EL,네온핑크원피스,N/A,"38,400",34%,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/486/220211002016486.jpg?RS=450&SP=1,CHOCO.EL,지베르니프릴원피스,N/A,"32,080",53%,5,16,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/goods/org/608/200611000751608.jpg?RS=450&SP=1,CHOCO.EL,빈슬리브리스원피스,N/A,"27,430",53%,5,1,N/A,,,N/A
