top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/453/240119008246453.jpg?RS=450&SP=1,BOBO CHOSES,보보쇼즈 24SS 베이비 스트라이프 니트 퀼로트 124AB114,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/140/240221009152140.jpg?RS=450&SP=1,LITTLE TINI,와플 블루머_아이보리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/496/240724025221496.jpg?RS=450&SP=1,LITTLE TINI,자스민 블루머_블루,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/568/240724025221568.jpg?RS=450&SP=1,LITTLE TINI,자스민 블루머_핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/goods/org/780/230217004212780.jpg?RS=450&SP=1&QT=20,LITTLE TINI,레비 블루머,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/goods/org/041/230410004684041.jpg?RS=450&SP=1&QT=20,LITTLE TINI,샤베트 블루머,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/486/240724025221486.jpg?RS=450&SP=1,LITTLE TINI,자스민 블루머_베이지,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/138/240221009152138.jpg?RS=450&SP=1,LITTLE TINI,와플 블루머_베이지,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240409013252902.jpg?RS=450&SP=1,LITTLE TINI,튤립 팬츠,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),팬츠,캐주얼쇼츠,https://image.sivillage.com/upload/C00001/s3/goods/org/959/240612020973959.jpg?RS=450&SP=1,HELLOSIMONE,헬로시모네 24SS 베이비 블루머 포르토 SS24-BBLPORT,SS24-BBLPORT,"40,800",40%,N/A,N/A,N/A,,,세일
