top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/395/240709024282395.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 배색 로고 니트 풀오버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/974/240812027285974.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04GJUK00004_012 10A 12A 14A,W04GJUK00004_012,"403,750",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png","라이트 블루,라이트 블루",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/989/240812027285989.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04GJUK00018_194A 10A 12A 14A,W04GJUK00018_194A,"425,600",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","다크 그레이,다크그레이",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/864/240812027285864.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24PF 여아 스웻셔츠 P04GSWK00001 04A 06A 08A,P04GSWK00001,"318,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/977/240812027285977.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04GJUK00006_951 10A 12A 14A,W04GJUK00006_951,"340,100",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","레드,레드",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/840/240812027285840.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스웻셔츠 W04GSWK00002_248B 04A 06A 08A,W04GSWK00002_248B,"297,350",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_02_%EC%98%A4%ED%94%84_%ED%99%94%EC%9D%B4%ED%8A%B8.png","베이지,오프 화이트",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/834/240812027285834.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스웻셔츠 W04GSWK00008_125B 10A 12A 14A,W04GSWK00008_125B,"382,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/021/240812027286021.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04KJUK00001_902 10A 12A,N/A,"403,750",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","베이지,다크베이지",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/837/240812027285837.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스웻셔츠 W04GSWK00001_170 04A 06A 08A,W04GSWK00001_170,"318,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/986/240812027285986.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04GJUK00014_108 10A 12A 14A,W04GJUK00014_108,"449,350",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","베이지,베이지",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/983/240812027285983.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04GJUK00013_099 10A 12A,W04GJUK00013_099,"403,750",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg","내츄럴 블랙,내츄럴 블랙",N/A
키즈,여아 (4-16세),니트/가디건/조끼,니트/스웨터,https://image.sivillage.com/upload/C00001/s3/goods/org/980/240812027285980.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 풀오버 W04GJUK00011_057A 10A 12A 14A,W04GJUK00011_057A,"726,750",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/14_04_%EB%A1%9C%EC%96%84_%ED%8D%BC%ED%94%8C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/14_04_%EB%A1%9C%EC%96%84_%ED%8D%BC%ED%94%8C.png","로얄 퍼플,로얄 퍼플",N/A
