top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/453/240723025155453.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 로고 카라 밴딩 헴 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/598/240628023010598.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 로고 패턴 프릴 블라우스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/516/240812027285516.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24PF 여아 블라우스 P04GBLW00002 10A 12A,P04GBLW00002,"382,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/464/240812027285464.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00003_396 04A 06A 08A,W04GBLW00003_396,"382,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/531/240812027285531.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GOUW00006_024A 10A 12A 14A,W04GOUW00006_024A,"568,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/525/240812027285525.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00018_525C 10A 12A,W04GBLW00018_525C,"403,750",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/522/240812027285522.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00010_582 10A 12A 14A,W04GBLW00010_582,"403,750",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/501/240812027285501.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00002_002 10A 12A,W04GBLW00002_002,"340,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/459/240812027285459.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00002_002 04A 06A 08A,W04GBLW00002_002,"318,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/519/240812027285519.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00005_002 10A 12A 14A,W04GBLW00005_002,"403,750",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/469/240812027285469.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00005_002 04A 06A 08A,W04GBLW00005_002,"382,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/438/240812027285438.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GOUW00006_024A 04A 06A 08A,W04GOUW00006_024A,"534,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/474/240812027285474.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00010_582 04A 06A 08A,W04GBLW00010_582,"382,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/510/240812027285510.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 블라우스 P04GBLW00002 04A 06A 08A,P04GBLW00002,"363,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/513/240812027285513.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 블라우스 P04GBLW00001 10A 12A 14A,P04GBLW00001,"318,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/507/240812027285507.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 블라우스 P04GBLW00001 04A 06A 08A,P04GBLW00001,"297,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240812027285528.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00045_621 10A 12A,W04GBLW00045_621,"340,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/456/240812027285456.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00045_621 04A 06A 08A,W04GBLW00045_621,"318,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/447/240812027285447.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00018_525C 04A 06A 08A,W04GBLW00018_525C,"382,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,긴팔 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240812027285504.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 블라우스 W04GBLW00003_396 10A 12A,W04GBLW00003_396,"403,750",5%,N/A,N/A,신상,,,N/A
