top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240803026060868.jpg?RS=450&SP=1,MISHA&PUFF,Corduroy Esther Top-Pink Lilac Dot-Misha & Puff,Lilac,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240318011301902.jpg?RS=450&SP=1,MISHA&PUFF,Esther Top-Vert Trellis-Misha & Puff,Trellis-Misha,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/010/240318011302010.jpg?RS=450&SP=1,MISHA&PUFF,Esther Top-Moonlight Watercolor Stripe-Misha & Puff,Top-Moonlight,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/goods/org/880/230426004827880.jpg?RS=450&SP=1,BURBERRY KIDS,[BURBERRY] 23SS 키즈 플라워 프린트 폴로 티셔츠 8047992,N/A,"279,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/goods/org/396/230608005379396.jpg?RS=450&SP=1&QT=20,FENDI KIDS,[FENDI] 23SS 키즈 돌 프린트 티셔츠 화이트 JFI248 7AJ F0TU9,N/A,"305,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/goods/org/386/230608005379386.jpg?RS=450&SP=1&QT=20,FENDI KIDS,[FENDI] 23SS 키즈 로고 프린팅 티셔츠 JUI123 7AJ F0TU9,N/A,"313,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/080/240419014251080.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[BURBERRY] 24SS 키즈 핀턱 슬리브리스 블라우스 베이지 8082211,N/A,"313,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/goods/org/890/230317004502890.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[BURBERRY] 22SS 키즈 쇼트 슬리브 체크 코튼 셔츠 8040991,N/A,"254,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/890/240214008981890.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[BURBERRY] 24SS 키즈 빈티지 체크 블라우스 8072346,N/A,"364,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),블라우스/셔츠,반팔/7부 블라우스/셔츠,https://image.sivillage.com/upload/C00001/goods/org/875/230426004827875.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[BURBERRY] 23SS 키즈 호스페리 로고 티셔츠 8051433,N/A,"220,150",27%,N/A,N/A,N/A,,,N/A
