top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/114/240627022868114.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 로고 트림 후드 플리스 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/410/240628023011410.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 패치 포켓 버튼업 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/120/240627022868120.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 로고 트림 후드 플리스 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/087/240820028319087.jpg?RS=450&SP=1,BOBO CHOSES,24AW 보보쇼즈 컬러 블록 양가죽 자켓 B224AC128,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/090/240820028319090.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 B.C 페어리 독 리버시블 자켓 B224AC129,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/721/240812027285721.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04KOUW00001_017 10A,N/A,"525,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/683/240812027285683.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04GJAW00006_017 10A,W04GJAW00006_017,"501,600",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/686/240812027285686.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04GJAW00007_004 10A 12A 14A,W04GJAW00007_004,"743,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/739/240812027285739.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04KOUW00001_017 04A 06A 08A,N/A,"496,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/749/240812027286749.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04GJAW00007_004 04A 06A 08A,W04GJAW00007_004,"710,600",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/738/240812027286738.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04GJAW00006_017 04A 06A 08A,W04GJAW00006_017,"473,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/718/240812027285718.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04GOUW00010_003 10A 12A 14A,W04GOUW00010_003,"460,750",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/736/240812027285736.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 자켓 W04GOUW00010_003 04A 06A 08A,W04GOUW00010_003,"425,600",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/748/240812027285748.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 자켓 P04GJAW00001 10A 12A,P04GJAW00001,"525,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/742/240812027285742.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 자켓 P04GJAW00001 04A 06A 08A,P04GJAW00001,"487,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/708/240820028318708.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 B.C 빈티지 데님 퀼티드 자켓 B224AC127,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/556/240818028171556.jpg?RS=450&SP=1&QT=20,HELLOSIMONE,헬로시모네 24AW 헬로 플리스 자켓 타탄 AW24-HELFTAR,AW24-HELFTAR,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/554/240818028171554.jpg?RS=450&SP=1&QT=20,HELLOSIMONE,헬로시모네 24AW 헬로 플리스 자켓 마르고 AW24-HELFJMA,AW24-HELFJMA,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/459/240829029791459.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[버버리] 키즈 퀼팅 반 자켓 8092519 A1189-K,N/A,"658,750",18%,N/A,N/A,신규입고,,,N/A
키즈,여아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/422/240829029791422.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[버버리] 키즈 퀼팅 반 자켓 8092457 A2015-K,N/A,"658,750",18%,N/A,N/A,신규입고,,,N/A
