top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/598/240716024683598.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 퍼프 슬리브 로고 드레스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/611/240628023010611.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 이글 트리밍 니트 드레스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/733/240812027285733.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00011_396 10A 12A,W04GDRW00011_396,"663,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/751/240812027285751.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00018_582 10A 12A 14A,W04GDRW00018_582,"663,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/653/240812027285653.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRK00020_099 04A 06A 08A,W04GDRK00020_099,"620,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/668/240812027285668.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00017_521A 04A 06A 08A,W04GDRW00017_521A,"1,007,000",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/650/240812027285650.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 원피스 P04GDRW00005 10A,P04GDRW00005,"772,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240812027286756.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00022_621 04A 06A 08A,W04GDRW00022_621,"363,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/730/240812027285730.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRK00020_099 10A 12A,W04GDRK00020_099,"641,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/632/240812027285632.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 원피스 P04GDRW00001 04A 06A 08A,P04GDRW00001,"425,600",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/644/240812027285644.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 원피스 P04GDRW00001 10A 12A,P04GDRW00001,"449,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/847/240812027286847.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00031_525C 04A 06A 08A,W04GDRW00031_525C,"641,250",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/20_01_%ED%94%84%EB%A1%A4%EB%9F%AC%ED%8C%A8%ED%84%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/20_01_%ED%94%84%EB%A1%A4%EB%9F%AC%ED%8C%A8%ED%84%B4.png","플로럴 패턴,플로럴 패턴",N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/689/240812027285689.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00029_424 06A 08A,W04GDRW00029_424,"425,600",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_150005_210414134858.jpg","핑크,001",N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,반팔/민소매 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/757/240812027285757.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 원피스 W04GDRW00022_621 10A 12A,W04GDRW00022_621,"382,850",5%,N/A,N/A,신상,,,N/A
