top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/874/240611020850874.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 부클 로고 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/918/240611020850918.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 핫픽스 로고 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/892/240611020850892.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 핫픽스 로고 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/952/240213008945952.png?RS=450&SP=1,GAP Kids,[키즈 여아 6-16세] 노벨티 패턴 크루넥 맨투맨 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/886/240611020850886.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI JUNIOR,[여아] 배색 자수 로고 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/880/240611020850880.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI JUNIOR,[여아] 배색 자수 로고 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/812/240213008945812.png?RS=450&SP=1&QT=20,GAP Kids,[키즈 여아 6-14세] 로고 패치 후드 집업 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/584/240219009073584.png?RS=450&SP=1&QT=20,GAP Kids,[키즈 여아 6-14세] 로고 패치 후드 집업 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/860/240213008946860.png?RS=450&SP=1&QT=20,GAP Kids,[토들러 여아 2-5세] 글리터 로고 패치 후드 집업 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/855/240213008946855.png?RS=450&SP=1&QT=20,GAP Kids,[토들러 여아 2-5세] 프린티드 로고 후드 집업 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/838/240213008946838.png?RS=450&SP=1&QT=20,GAP Kids,[토들러 여아 2-5세] 프린티드 로고 후드 집업 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/851/240213008945851.png?RS=450&SP=1&QT=20,GAP Kids,[키즈 여아 6-16세] 프린티드 로고 후드 티셔츠 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/586/240219009073586.png?RS=450&SP=1&QT=20,GAP Kids,[키즈 여아 6-16세] 레인보우 프린트 후드 티셔츠 세트,N/A,N/A,N/A,5,1,N/A,,,세트
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/908/240812027285908.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04GTSK00001_670 04A 06A 08A,W04GTSK00001_670,"164,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/873/240812027285873.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 티셔츠 P04GTSK0000110A 12A 14A,P04GTSK0000110A,"164,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/905/240812027285905.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04KTSK00001_102 10A 12A,N/A,"188,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/917/240812027285917.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04KTSK00001_102 04A 06A 08A,N/A,"164,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240812027285902.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04GTSK00012_194A 10A 12A 14A,W04GTSK00012_194A,"188,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/914/240812027285914.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04GTSK00012_194A 04A 06A 08A,W04GTSK00012_194A,"164,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/899/240812027285899.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04GTSK00008_101 10A 12A 14A,W04GTSK00008_101,"188,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/911/240812027285911.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04GTSK00008_101 04A 06A 08A,W04GTSK00008_101,"164,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/876/240812027285876.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 티셔츠 W04GTSK00001_670 10A 12A 14A,W04GTSK00001_670,"188,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/870/240812027285870.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24PF 여아 티셔츠 P04GTSK00001 04A 06A 08A,P04GTSK00001,"145,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/208/231128007227208.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,[몽클레어 키즈] 로고 패치 코튼 맨투맨 8G00002 899PS 980 (4-6),8G00002,"259,250",18%,N/A,N/A,N/A,,,N/A
