top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/870/230630005578870.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 원 핸드 글러브,N/A,"67,680",9%,4.7,7,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/s3/goods/org/998/240517017270998.jpg?RS=450&SP=1,MARK&LONA,U GN SKULL & LOGO PATTERN 2-HANDED GLOVE LQ2YG03U,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/s3/goods/org/986/240517017270986.jpg?RS=450&SP=1,MARK&LONA,U GN SKULL & LOGO PATTERN GLOVE LQ2YG02U,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/s3/goods/org/449/240319011410449.jpg?RS=450&SP=1,MARK&LONA,U GN RAINBOW CAMO PATTERN GLOVE LQ1YG01U,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/534/230419004744534.jpg?RS=450&SP=1&QT=20,HORN GARMENT,DETACHABLE BALL MARKER POINT HG ARCHIVE PATTERN 2-HANDED GLOVE HP1YG04U,DETACHABLE,"103,600",30%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/806/220629002715806.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,NAVY SUEDED,N/A,N/A,N/A,5,1,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/801/220629002715801.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,EGGSHELL,EGGSHELL,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/804/220629002715804.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,ICEBLUE,ICEBLUE,N/A,N/A,5,1,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/782/220629002715782.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,REDBURST,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/s3/goods/org/671/240823028881671.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 양피 장갑 (한손) 화이트(MP321MGL72),화이트(MP321MGL72),"52,250",5%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/s3/goods/org/619/240528018673619.png?RS=450&SP=1&QT=20,STANDREWS,남성 심볼 컬러 배색 양피 한손 장갑,N/A,"64,600",5%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/s3/goods/org/665/240823028881665.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 양피 장갑 (한손) 그린(MP321MGL72),그린(MP321MGL72),"52,250",5%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/799/220629002715799.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,SMOKE,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/803/220629002715803.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,MAHOGHANY,MAHOGHANY,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/781/220629002715781.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,ANAPOLIS,ANAPOLIS,N/A,N/A,5,1,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/777/220629002715777.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,CLASSIC,CLASSIC,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/775/220629002715775.jpg?RS=450&SP=1&QT=20,ASHER GOLF ACC,ALTA2.0,ALTA2.0,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,남성용,https://image.sivillage.com/upload/C00001/goods/org/509/210513001225509.jpg?RS=450&SP=1&QT=20,GOLFSHOP,팜골프 Day Trip(Men),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
