top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/660/240805026276660.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 제이린드버그 트래블 백 4.0,N/A,"427,500",14%,5,1,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/923/240813027511923.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 레나 보스턴백,N/A,"380,000",5%,N/A,N/A,신상,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/777/230518005167777.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 스컬 자카드 보스턴백,N/A,"722,000",9%,5,4,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/560/230411004690560.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 크롬 보스턴백,N/A,"722,000",9%,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/788/240801025861788.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 몰른 보스턴백,N/A,"342,000",14%,5,3,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","다크 그레이,블랙",N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/908/240823028904908.jpg?RS=450&SP=1&QT=20,STANDREWS,남성 별 심볼 레터링 보스턴백,N/A,"378,100",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/571/240823028904571.jpg?RS=450&SP=1&QT=20,STANDREWS,남성 별 심볼 레터링 보스턴백,N/A,"378,100",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/317/240823028905317.jpg?RS=450&SP=1&QT=20,STANDREWS,여성 리본 로고 스티치 보스턴백,N/A,"473,100",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/654/240823028904654.png?RS=450&SP=1&QT=20,STANDREWS,여성 아가일 패턴 휠 보스턴백,N/A,"663,100",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/286/240823028904286.jpg?RS=450&SP=1&QT=20,STANDREWS,여성 리본 로고 스티치 보스턴백,N/A,"473,100",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/818/240814027668818.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,남성 확장형 보스턴백 (DP32MFBO91),N/A,"379,050",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/003/240813027493003.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남녀 공용 블럭형 보스톤백 TMBBNF681-907,N/A,"341,100",10%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/375/240813027492375.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 여성 퀼팅 보스턴백 TWBBNF691-199,N/A,"341,100",10%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/543/240617021664543.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 라운드 휠 보스턴백 (DP32WEBO82),N/A,"379,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","네이비,베이지",N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/675/221214003653675.jpg?RS=450&SP=1&QT=20,ZEROHALLIBURTON,Cordura Series Boston - Navy Camo,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","네이비,블랙,화이트,레드",N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/s3/goods/org/642/240823028881642.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 경량 코티드 트윌 보스턴백,N/A,"397,100",5%,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/498/231019006635498.jpg?RS=450&SP=1&QT=20,BRIEFING,TURF WIRE RANGER GREEN - BLACK,RANGER,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","블랙,베이지,올리브,블랙",N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/629/230330004609629.jpg?RS=450&SP=1&QT=20,CHRONYX GOLF,"812 NX BOSTON BAG, OFF WHITE","BAG,",N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/833/220311002116833.jpg?RS=450&SP=1&QT=20,FUTURETRO,(UNISEX) STRIPE BOSTON-BAG,BOSTON-BAG,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프백,보스턴백/트롤리,https://image.sivillage.com/upload/C00001/goods/org/295/230922006448295.jpg?RS=450&SP=1&QT=20,BRIEFING,TURF WIRE 1000D - NAVY,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png,https://image.sivillage.com/upload/C00001/goods/color/color_15_210114025641.png,https://image.sivillage.com/upload/C00001/goods/color/color_110022_210114010650.png","네이비,블랙,기타,그린",N/A
