top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/979/230418004735979.jpg?RS=450&SP=1,TINO5,[브리지스톤] 2022 B2 드라이버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/193/230418004736193.jpg?RS=450&SP=1,TINO5,[온오프] 2023 LP-423 여성 드라이버,LP-423,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/082/210128001044082.jpg?RS=450&SP=1,GOLFSHOP,[PRGR]2020 RS 5 드라이버,[PRGR]2020,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/202/220622002679202.jpg?RS=450&SP=1,GOLFSHOP,[혼마]키와미v 2스타 여성드라이버-코오롱정품-,N/A,"800,000",5%,5,1,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/538/230907006309538.jpg?RS=450&SP=1&QT=20,TINO5,[핑] 2022 G430 MAX 남성 드라이버,G430,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/485/230907006186485.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[다이와] gIII8 실버 드라이버 (고반발),gIII8,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/977/230907006276977.jpg?RS=450&SP=1&QT=20,TINO5,[브리지스톤] 2022 B1 드라이버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/680/220621002672680.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[다이와] 정품 2021 온오프LP421 여성드라이버-마스터스인터내셔널-,온오프LP421,"780,000",8%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/171/230907006240171.jpg?RS=450&SP=1&QT=20,TINO5,[PRGR] 2022 NEW SUPER egg 485 / 슈퍼 에그 485 드라이버,[PRGR],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/246/210805001372246.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[PRGR] LS드라이버 PRGR 2021 -프로기아한국지점-,[PRGR],"900,000",2%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/691/230108003789691.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[MAJESTY] 정품 프레스티지오12 남성드라이버 고반발-마제스티골프코리아-,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/633/230907006168633.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[스릭슨] 2021 NEW ZX-7 드라이버,N/A,"600,000",7%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/338/221114003497338.png?RS=450&SP=1&QT=20,GOLFSHOP,[핑]정품 22년 PING G430 맥스 드라이버,PING,"900,000",5%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/548/220920003142548.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[엘로드정품]22' 다이너스7 고반발 드라이버-코오롱인더스트리-,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/694/220301002081694.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[브릿지스톤] 2022 올뉴 B2 드라이버-석교정품-,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/703/220621002672703.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[MAJESTY] 21 마제스티 로얄 드라이버 -마제스티골프코리아-,N/A,"1,300,000",13%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/068/220215002029068.jpg?RS=450&SP=1,GOLFSHOP,[PXG] GEN4 - 0811XF 젠4드라이버-카네정품-,[PXG],"600,000",14%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/861/210130001047861.jpg?RS=450&SP=1,GOLFSHOP,[PRGR] 정품 PRGR 매트블랙 수퍼에그 고반발드라이버,[PRGR],"1,400,000",22%,N/A,N/A,N/A,,,N/A
골프,골프클럽,드라이버,https://image.sivillage.com/upload/C00001/goods/org/701/220621002672701.jpg?RS=450&SP=1,GOLFSHOP,[MAJESTY] 올뉴 프레스티지오11 드라이버 =마제스티골프코리아정품=,N/A,"2,200,000",31%,N/A,N/A,N/A,,,N/A
