top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/830/240802025966830.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 저지 풀 집업 자켓,N/A,"839,320",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/792/240826029288792.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 마티 윈드브레이커 자켓,N/A,"512,050",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/802/240826029288802.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 마티 윈드브레이커 자켓,N/A,"512,050",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/665/240826029288665.jpg?RS=450&SP=1,SUNLOVE,Prosum Track Jacket Brown,N/A,"247,140",14%,N/A,N/A,신상,,,세일
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/671/240826029288671.jpg?RS=450&SP=1&QT=20,SUNLOVE,Prosum Track Jacket Grey,Grey,"247,140",14%,N/A,N/A,신상,,,세일
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/296/240819028283296.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 아트워크 윈드프루프 자켓,N/A,"807,730",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/331/240819028283331.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 아트워크 윈드프루프 자켓,N/A,"807,730",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/582/240826029288582.jpg?RS=450&SP=1&QT=20,SUNLOVE,Capital Zip Up Hoodie Heather Grey,Capital,"127,440",14%,N/A,N/A,신규입고,,,세일
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/502/240826029288502.jpg?RS=450&SP=1&QT=20,SUNLOVE,Capital Zip Up Hoodie Light Sage,Capital,"127,440",14%,N/A,N/A,신규입고,,,세일
골프,남성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/454/240826029288454.jpg?RS=450&SP=1&QT=20,SUNLOVE,Capital Zip Up Hoodie Navy,Capital,"127,440",14%,N/A,N/A,신규입고,,,세일
