top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/s3/goods/org/848/240422014506848.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 패브리스 후디,N/A,"303,520",14%,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","화이트,멜란지 그레이",N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/450/230413004707450.jpg?RS=450&SP=1,GALVIN GREEN,Devlin Insula Hoodie,Devlin,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/081/230412004699081.jpg?RS=450&SP=1,MADCATTOS,MCC EMBROIDERY SWEAT-WHITE,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/311/220816002960311.jpg?RS=450&SP=1,GALVIN GREEN,Duane Insula Hoodie,Insula,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","그레이,네이비,블랙",N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/445/230413004707445.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Devlin Insula Hoodie,Devlin,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/683/231016006604683.jpg?RS=450&SP=1&QT=20,YORF GOLF,YORF AW SKULL HOOD CHARCOAL,SKULL,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/831/231102006891831.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC M ESSENTIAL SWEATSHIRT-MELANGE GREY,ESSENTIAL,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/916/230302004342916.jpg?RS=450&SP=1&QT=20,YORF GOLF,22 A/W YORF SMILE HOODIE BLUE,SMILE,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/834/231102006891834.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC M V-NECK SWEATSHIRT-DARK NAVY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/083/230412004699083.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC EMBROIDERY SWEAT-LIGHT BLUE,SWEAT-LIGHT,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/841/231102006891841.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC M V-NECK SWEATSHIRT-BEIGE,SWEATSHIRT-BEIGE,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/079/230412004699079.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC EMBROIDERY SWEAT-DARK NAVY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/s3/goods/org/606/240116008155606.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,남성 로고 맨투맨 티셔츠 (DP12MFNL12),(DP12MFNL12),"265,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000633.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","스틸그레이,블랙",N/A
골프,남성 골프웨어,티셔츠,스웻/후디,https://image.sivillage.com/upload/C00001/goods/org/443/230413004707443.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Devlin Insula Hoodie,Devlin,N/A,N/A,N/A,N/A,N/A,,,N/A
