top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/305/240809026893305.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 페어웨이 브로그 골프 스니커즈,N/A,"440,320",14%,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/103/240215009003103.jpg?RS=450&SP=1,AVVES GOLF,[아베스골프] 피닉스 키높이 에센셜 (여성),N/A,N/A,N/A,5,1,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/320/240226009438320.jpg?RS=450&SP=1,AVVES GOLF,[아베스골프] 오레오 블랙 (남여공용)(여성),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/424/231205007293424.jpg?RS=450&SP=1,MARK&LONA,U GN 2023 ASICS COLLABO SHOES LY7ZK32F,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/195/240226009440195.jpg?RS=450&SP=1&QT=20,AVVES GOLF,[아베스골프] 스탈링 화이트 (남여공용)(여성),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/goods/org/820/231101006767820.jpg?RS=450&SP=1&QT=20,G/FORE,[G FORE] 23FW 여성 킬티 디스럽터 골프화 G4LA23EF50 SNO,[G,"305,150",27%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/goods/org/110/230728005828110.jpg?RS=450&SP=1&QT=20,G/FORE,[G FORE] 22SS 갈리벤터 골프화 스노우 G4LS22EF02 S/TWT,[G,"271,150",27%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/goods/org/165/230718005747165.jpg?RS=450&SP=1&QT=20,G/FORE,[지포어] [골프] 퍼포레이티드 MG4 G4LA23EF23 BLUSH 여자 스니커즈,MG4,"283,900",28%,5,1,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/133/231129007237133.jpg?RS=450&SP=1&QT=20,G/FORE,지포어 갤리밴터 여성 스니커즈 G4LC0EF05 STN,G4LC0EF05,"265,200",33%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,스니커즈,https://image.sivillage.com/upload/C00001/s3/goods/org/643/240812027291643.jpg?RS=450&SP=1&QT=20,G/FORE,[G/FORE] 지포어 골프화 여성 스니커즈 GLF000013 DBRK,[G/FORE],"283,900",49%,N/A,N/A,N/A,,,N/A
