top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/789/240816027915789.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Women] 아트워크 윈드프루프 자켓,N/A,"807,730",9%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/780/240816027915780.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Women] 아트워크 윈드프루프 자켓,N/A,"807,730",9%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/665/240821028547665.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 스텔라 윈드브레이크 자켓,N/A,"493,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/430/240821028553430.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 올슨 윈드브레이크 자켓,N/A,"474,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/655/240821028547655.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 스텔라 윈드브레이크 자켓,N/A,"493,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/645/240821028547645.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 스텔라 윈드브레이크 자켓,N/A,"493,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/117/240820028377117.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 올슨 윈드브레이크 자켓,N/A,"426,640",14%,5,1,신상,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/335/240812027290335.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 저지 풀집업 점퍼 (DP32WFCS89),N/A,"360,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","아이보리,블랙",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/293/240807026562293.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 블루종 안감 점퍼 (DP32WFBL83),(DP32WFBL83),"398,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png","블랙,아이보리",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240730025677373.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 경량 롱사파리 (DP32WFBL82),(DP32WFBL82),"417,050",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/168/240711024425168.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 소매 디테쳐블 홑겹 점퍼 (DP32WFBL72),(DP32WFBL72),"379,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000616.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","피콕 그린,화이트",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/827/240708024164827.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 메이 집업 미드 레이어,N/A,"303,520",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/494/240618021749494.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 사파리 레인 자켓-PGPPW610421,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240626022762347.jpg?RS=450&SP=1&QT=20,HONMA GOLF,혼마골프여성 SS 벨트 롱 자켓 HWGX302B825 WH,HWGX302B825,"122,000",78%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/326/240626022762326.jpg?RS=450&SP=1&QT=20,HONMA GOLF,혼마골프여성 SS 포인트 컬러 후드 자켓 HWFC302B604 NY,N/A,"78,000",78%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/403/240626022762403.jpg?RS=450&SP=1&QT=20,HONMA GOLF,혼마골프여성 SS 포인트 컬러 후드 자켓 HWFC302B604 GY,GY,"78,000",78%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/352/240528018659352.png?RS=450&SP=1&QT=20,STANDREWS,여성 프릴 헴 스트링 백 플랩 아노락,N/A,"530,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/586/240529018795586.jpg?RS=450&SP=1&QT=20,ADIDAS GOLF,아디다스골프여성 SS루즈 핏 니트 베스트 IK9799,N/A,"94,800",40%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/917/240528018673917.png?RS=450&SP=1&QT=20,STANDREWS,여성 스트링 플랩 집업 롱 점퍼,N/A,"701,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/787/240528018659787.png?RS=450&SP=1&QT=20,STANDREWS,여성 레이어 스트링 패커블 점퍼,N/A,"853,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/927/240528018670927.png?RS=450&SP=1&QT=20,STANDREWS,여성 프릴 라인 집업 반팔 점퍼,N/A,"568,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/274/240529018796274.jpg?RS=450&SP=1&QT=20,ADIDAS GOLF,아디다스골프여성 SS루즈 핏 니트 베스트 IK9800,N/A,"94,800",40%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/237/240528018659237.png?RS=450&SP=1&QT=20,STANDREWS,여성 백 포켓 별 심볼 스트링 아우터,N/A,"511,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/231/240528018665231.png?RS=450&SP=1&QT=20,STANDREWS,여성 플랩 포켓 스트링 루즈 점퍼,N/A,"549,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/774/240528018673774.png?RS=450&SP=1&QT=20,STANDREWS,여성 스트링 후드 시어 롱 점퍼,N/A,"720,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/806/240528018673806.png?RS=450&SP=1&QT=20,STANDREWS,여성 프릴 라인 집업 반팔 점퍼,N/A,"568,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/286/240528018658286.png?RS=450&SP=1&QT=20,STANDREWS,여성 프릴 헴 스트링 백 플랩 아노락,N/A,"530,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/293/240528018658293.png?RS=450&SP=1&QT=20,STANDREWS,여성 스트링 플랩 집업 롱 점퍼,N/A,"701,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240528018673567.jpg?RS=450&SP=1&QT=20,STANDREWS,여성 심볼 리본 후드 포켓 점퍼,N/A,"644,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/384/240520017608384.jpg?RS=450&SP=1&QT=20,MARK&LONA,W TN SHIRRING WOVEN OUTER LQ1TD74F,SHIRRING,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/801/240520017609801.jpg?RS=450&SP=1&QT=20,MARK&LONA,W TN COOLING OUTER LQ1TD71F,COOLING,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/821/240520017591821.jpg?RS=450&SP=1&QT=20,MARK&LONA,W GN SOLID LONG RAINWEAR OUTER LQ2IL03F,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/472/240517017268472.jpg?RS=450&SP=1&QT=20,MARK&LONA,W GN CUBIC LOGO POINT WOVEN OUTER LQ1ID04F,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/089/240415013826089.jpg?RS=450&SP=1&QT=20,MARK&LONA,W CD BIG LOGO POINT WOVEN OUTER LQ1CD55F,BIG,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_15_210114025641.png,https://image.sivillage.com/upload/C00001/goods/color/color_15_210114025641.png","기타,기타",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/951/220823002995951.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Leila Interface FZ Jacket,Leila,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/655/240313010799655.jpg?RS=450&SP=1&QT=20,CREVE9,포켓 스윙 바람막이WH,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/561/230502004934561.jpg?RS=450&SP=1&QT=20,CREVE9,벌룬 소매 스윙 바람막이BK,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/057/240313010789057.png?RS=450&SP=1&QT=20,STANDREWS,여성 엠보 심볼 포켓 점퍼 & 시어 후드,N/A,"644,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/568/220823002995568.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Anya GORE-TEX Lining Rain Jacket,GORE-TEX,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/027/220823002996027.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Lorelle Interface FZ Jacket,Lorelle,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/417/220823002995417.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Aila GORE-TEX Paclite Rain Jacket,Aila,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/544/220310002114544.jpg?RS=450&SP=1&QT=20,FUTURETRO,(UNISEX) TECHNICAL PADDING VEST,TECHNICAL,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240223009302868.jpg?RS=450&SP=1&QT=20,MARK&LONA,W TN SS PADDING OUER LQ1TD70F,PADDING,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/662/231129007235662.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 뉴 실루엣 레인 자켓-PHPCW610421,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/630/230414004712630.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Alice GORE-TEX Paclite Jacket (Ladies),Alice,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/001/240408013193001.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,여성 썸머 경량 미들 자켓,N/A,"435,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/622/240403012869622.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,여성 썸머 메쉬 조직감 자켓 화이트(MP222LCS51),화이트(MP222LCS51),"359,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/518/240401012658518.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 경량 메쉬 하이브리드 바람막이 (DP22WFBL41),(DP22WFBL41),"341,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/08_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%AF%BC%ED%8A%B8.png","화이트,라이트 민트",N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/264/230224004279264.jpg?RS=450&SP=1&QT=20,ONOFF,[온오프골프웨어] 여성 와이드카라 가오리핏 블루종 OF1103LA_NAVY,OF1103LA_NAVY,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/634/230414004712634.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Alice GORE-TEX Paclite Jacket (Ladies),Alice,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,자켓/점퍼,https://image.sivillage.com/upload/C00001/goods/org/624/230414004712624.jpg?RS=450&SP=1&QT=20,GALVIN GREEN,Ally GORE-TEX Paclite Stretch Jacket (Ladies),Ally,N/A,N/A,N/A,N/A,N/A,,,N/A
