top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/397/240809026900397.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Women] 그래픽 부츠컷 팬츠,N/A,"500,880",9%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/079/240819028283079.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Women] 스컬 자카드 팬츠,N/A,"478,320",9%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/389/240809026900389.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Women] 그래픽 부츠컷 팬츠,N/A,"500,880",9%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/377/240821028553377.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 애니 스트레이트 핏 카고 팬츠,N/A,"341,140",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","라이트 베이지,블랙",N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/675/240821028547675.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 리디아 조거 팬츠,N/A,"360,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/365/240821028553365.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 매들린 베이직 부츠컷 팬츠,N/A,"360,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/079/240806026358079.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 킴벌리 팬츠,N/A,"474,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/206/240717024766206.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Women] 에센셜 팬츠,N/A,"482,830",9%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/738/240802026006738.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Women] 저지 조거 팬츠,N/A,"518,930",9%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png","블랙,카키",N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/270/240801025874270.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Women] 매들린 베이직 부츠컷 팬츠,N/A,"324,040",14%,5,2,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png","블랙,라이트 베이지",N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/395/240823028904395.png?RS=450&SP=1&QT=20,STANDREWS,여성 카고 포켓 기모 팬츠,N/A,"454,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/503/240822028693503.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 일자핏 팬츠 (DP32WFPT81),N/A,"265,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","블랙,베이지",N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/385/240826029288385.jpg?RS=450&SP=1&QT=20,SUNLOVE,W Layered Skirt Pants Stone,Layered,"212,940",14%,N/A,N/A,신규입고,,,세일
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240826029288373.jpg?RS=450&SP=1&QT=20,SUNLOVE,W Layered Skirt Pants Charcoal,Layered,"212,940",14%,N/A,N/A,신규입고,,,세일
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/827/240809026861827.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 슬림 핏 팬츠-PIFPW510221,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/690/240809026861690.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 베이직 H-라인 팬츠-PIFPW511121,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
