top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/873/240826029297873.jpg?RS=450&SP=1,LARDINI,리브드 울 캐시미어 집업,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/867/240826029297867.jpg?RS=450&SP=1,LARDINI,리브드 울 캐시미어 집업,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/719/240719024896719.jpg?RS=450&SP=1,BRUNELLO CUCINELLI,남성 캐시미어 후디드 집업 가디건,N/A,"4,465,000",5%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/580/240826029289580.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 하이넥 니트 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240809026901772.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 부클 립 니티드 자켓,PAUL,"585,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/656/240813027509656.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 니트 슬리브 울 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/681/240814027642681.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 후디드 드롭 숄더 니트 집업,N/A,"4,731,000",5%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/838/240730025702838.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 알파카 울 니트 후드 집업,N/A,"4,446,000",5%,N/A,N/A,N/A,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/206/240612020959206.jpg?RS=450&SP=1&QT=20,SACAI,[남성]사이드 지퍼 니트 블루종,N/A,"902,500",5%,N/A,N/A,N/A,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/318/240612020959318.jpg?RS=450&SP=1&QT=20,SACAI,[남성]사이드 지퍼 니트 블루종,N/A,"902,500",5%,N/A,N/A,N/A,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/596/240627022883596.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 지퍼드 캐시미어 니트 후디,N/A,"2,356,000",5%,N/A,N/A,N/A,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/480/240612020944480.jpg?RS=450&SP=1&QT=20,PAUL SMITH,니트 슬리브 부클 봄버 자켓,N/A,"1,215,000",10%,N/A,N/A,N/A,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/981/240322011715981.jpg?RS=450&SP=1&QT=20,JAJU,남 램스울 반집업 니트,N/A,N/A,N/A,5,3,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_03_%EB%8B%A4%ED%81%AC_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","다크 블루,라이트 그레이,베이지",N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/goods/org/586/231006006540586.jpg?RS=450&SP=1&QT=20,JAJU,남 램스울 집업 니트 가디건,N/A,N/A,N/A,5,6,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","베이지,차콜 그레이,블랙",N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/913/240829029785913.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 집업 가디건 AH302E-54N BMY,N/A,"296,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/798/240829029785798.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 반집업 와이드 카라 풀오버 AH301E-54N HDE,N/A,"278,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240829029785901.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 반집업 와이드 카라 풀오버 AH301E-54N XFJ,N/A,"278,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/948/240829029785948.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 집업 가디건 AH302E-54N XFJ,N/A,"296,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/944/240829029785944.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 집업 가디건 AH302E-54N SIX,N/A,"296,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/909/240829029785909.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 집업 가디건 AH302E-54N 031,N/A,"296,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,니트,가디건/집업,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/462/240828029557462.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 케이블 반집업 와이드 카라 풀오버 AH301E-54N BUQ,N/A,"278,100",10%,N/A,N/A,신규입고,,,N/A
