top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/498/240716024695498.jpg?RS=450&SP=1,RICK OWENS,[MEN] [DRKSHDW] 왁스 데님 카고 팬츠,N/A,"1,311,000",5%,N/A,N/A,N/A,,,N/A
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/130/240530018922130.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 도그 패치 배기 핏 진,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/932/240830029970932.jpg?RS=450&SP=1,GIORGIO ARMANI,남성 원 턱 플리츠 쉐브론 데님 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/203/240717024755203.jpg?RS=450&SP=1,BRUNELLO CUCINELLI,남성 드로스트링 레저 핏 데님 팬츠,N/A,"1,947,500",5%,N/A,N/A,N/A,,,N/A
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/265/240813027517265.jpg?RS=450&SP=1&QT=20,SONGZIO HOMME,송지오옴므 SSAW 셀비지 와이드 데님 팬츠 블루 SG4PT121BL,SG4PT121BL,"242,100",10%,N/A,N/A,N/A,,,세일
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/967/240813027516967.jpg?RS=450&SP=1&QT=20,SONGZIO HOMME,송지오옴므 SSAW 셀비지 와이드 데님 팬츠 그레이 SG4PT120GY,SG4PT120GY,"242,100",10%,N/A,N/A,신상,,,세일
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/266/240813027517266.jpg?RS=450&SP=1&QT=20,SONGZIO HOMME,송지오옴므 SSAW 오리지널 워시드 와이드 트레이닝 팬츠 그레이 SG4PT101GY,SG4PT101GY,"215,100",10%,N/A,N/A,N/A,,,세일
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/009/240813027503009.jpg?RS=450&SP=1&QT=20,SONGZIO HOMME,송지오옴므 크로스 턱 캐롯 데님 블루 SG5PT523BL,SG5PT523BL,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/010/240813027503010.jpg?RS=450&SP=1&QT=20,SONGZIO HOMME,송지오옴므 크로스 턱 캐롯 데님 블랙 SG5PT522BK,SG5PT522BK,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/213/240821028533213.jpg?RS=450&SP=1&QT=20,C.P. COMPANY,[CP COMPANY] 24FW 와펜 레귤러핏 카고팬츠 17CMPA247A 005904G 999,005904G,"279,650",27%,N/A,N/A,N/A,,,N/A
