top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/032/240628023011032.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 이글 로고 슬림 데님 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/483/240821028548483.jpg?RS=450&SP=1,MAN ON THE BOON,스탠다드 핏 워시드 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/476/240821028548476.jpg?RS=450&SP=1,MAN ON THE BOON,스탠다드 핏 생지 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/322/240829029793322.jpg?RS=450&SP=1,MAN ON THE BOON,[JACOB COHEN] 백 레더 패치 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/314/240829029793314.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[JACOB COHEN] 워싱 슬림 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/895/240726025420895.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 백 로고 레더 패치 데님 팬츠,N/A,"1,567,500",5%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/707/240726025420707.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 워시드 스트레이트 핏 데님 팬츠,N/A,"1,662,500",5%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/012/240826029289012.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 메탈 로고 스트레치 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/005/240826029289005.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 메탈 로고 스트레치 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/042/240726025421042.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 백 로고 레더 패치 데님 팬츠,N/A,"1,567,500",5%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/998/240826029288998.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 이글 로고 스톤 워시드 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240726025420888.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 백 로고 레더 패치 데님 팬츠,N/A,"1,567,500",5%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/881/240726025420881.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 디스트로이드 자수 로고 데님 팬츠,N/A,"1,662,500",5%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/714/240726025420714.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 워시드 스트레이트 핏 데님 팬츠,N/A,"1,662,500",5%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/104/240801025874104.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,빅 로고 스크래치 디트로이트 진,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/077/240801025874077.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,빅 로고 페인팅 스트레이트 컷 진,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/432/240809026902432.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,페인딩 워시드 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/487/240820028335487.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 메탈 로고 워시드 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/121/240819028283121.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 코듀로이 테이퍼드 핏 진,PAUL,"360,000",10%,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/950/240723025156950.jpg?RS=450&SP=1&QT=20,LARDINI,디스트로이드 헴 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/195/240801025857195.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 지퍼 클로저 코팅 데님 팬츠,N/A,"2,451,000",5%,N/A,N/A,N/A,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/188/240801025857188.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 코티드 데님 부츠컷 팬츠,N/A,"1,406,000",5%,N/A,N/A,N/A,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/842/240627022881842.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 레더 패치 스트레이트 데님 진,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/174/240621022278174.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 자수 로고 스티치 데님 팬츠,N/A,"1,567,500",5%,N/A,N/A,N/A,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/643/240702023326643.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[JACOB COHEN] BARD 슬림 실루엣 진,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,데님,슬림/스트레이트,https://image.sivillage.com/upload/C00001/s3/goods/org/743/240719024893743.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 디보싱 패치 테이퍼드 진,PAUL,"360,000",10%,N/A,N/A,N/A,,,N/A
