top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/545/240826029289545.jpg?RS=450&SP=1,GIORGIO ARMANI,남성 글로시 울 캐시미어 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/898/240826029297898.jpg?RS=450&SP=1,MAN ON THE BOON,[TAGLIATORE] 브러시트 울 싱글 수트,[TAGLIATORE],N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/826/240826029297826.jpg?RS=450&SP=1,LARDINI,플란넬 베이직 울 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/559/240826029289559.jpg?RS=450&SP=1,GIORGIO ARMANI,남성 울 캐시미어 스트레치 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/531/240826029289531.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 마이크로 패턴 울 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/497/240826029289497.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 소프트 레인지 슬림 핏 울 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/524/240826029289524.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 소프트 레인지 슬림 핏 울 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/538/240826029289538.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 솔리드 슬림 핏 울 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/956/240826029297956.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 노치트 라펠 스트레치 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/566/240826029289566.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 울 캐시미어 스트레치 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,수트/셋업,수트/셋업,https://image.sivillage.com/upload/C00001/s3/goods/org/552/240826029289552.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 글로시 울 캐시미어 싱글 수트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
