top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/598/240802025965598.jpg?RS=450&SP=1,PHILIPP PLEIN,글로시 나일론 윈드브레이커,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/410/240802025965410.jpg?RS=450&SP=1,PHILIPP PLEIN,글로시 나일론 윈드브레이커,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/402/240802025965402.jpg?RS=450&SP=1,PHILIPP PLEIN,타투 프린트 윈드브레이커,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/234/240802025965234.jpg?RS=450&SP=1,PHILIPP PLEIN,타투 프린트 윈드브레이커,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/457/240709024284457.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 스냅 버튼 폴리 셔츠 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/529/240709024284529.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 빅 포켓 나일론 후드 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/446/240709024284446.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 스냅 버튼 폴리 셔츠 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/002/240826029263002.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 블루종 점퍼 TMJUN3203-510,N/A,"359,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/009/240826029263009.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 블루종 점퍼 TMJUN3203-199,N/A,"359,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/515/240813027493515.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 홑겹 하이넥 아노락 점퍼 TMJUN3201-509,N/A,"323,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/582/240813027493582.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 2L 바람막이 점퍼 TMJUN3202-814,2L,"341,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/614/240813027493614.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 2L 바람막이 점퍼 TMJUN3202-199,2L,"341,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/094/240813027492094.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 홑겹 하이넥 아노락 점퍼 TMJUN3201-199,N/A,"323,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/419/240820028334419.jpg?RS=450&SP=1&QT=20,ZZERO,지제로 팬서 3D 스트럭쳐 후드 점퍼 블랙 SG5JP800BK,SG5JP800BK,"750,500",5%,N/A,N/A,신상,,,세일
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/216/240813027512216.jpg?RS=450&SP=1&QT=20,ZZERO,지제로 팬서 3D 스트럭쳐 후드 점퍼 라이트 그레이 SG5JP801LG,SG5JP801LG,"750,500",5%,N/A,N/A,신상,,,세일
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/283/240813027512283.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 3 IN 1 후드 스타디움 점퍼 BH258E-54N 031,N/A,"359,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/069/240808026703069.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 하이넥 아우터 BH246E-54N 02S,N/A,"341,100",10%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,블랙",N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/035/240806026403035.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,EXPLORE HOOD JUMPER - BROWN (P243UJP130),EXPLORE,"233,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/996/240806026402996.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,EXPLORE HOOD JUMPER - D/NAVY (P243UJP130),EXPLORE,"233,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/859/240806026402859.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,EXPLORE ANORAK - BROWN (P243UAN130),EXPLORE,"215,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/898/240806026402898.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,EXPLORE HOOD JUMPER - MUSTARD (P243UJP130),EXPLORE,"233,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/275/240806026402275.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,EXPLORE ANORAK - MUSTARD (P243UAN130),EXPLORE,"215,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/780/240806026402780.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,EXPLORE ANORAK - D/NAVY (P243UAN130),EXPLORE,"215,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/036/240808026703036.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 앞판 절개 바람막이 BH7164-54N BMY,N/A,"314,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/032/240808026703032.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 집업 트랙 블루종 BH6291-54N 031,N/A,"287,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/161/240812027294161.jpg?RS=450&SP=1&QT=20,SHIFT.G,Utility Shirket Light Grey (GS4664TO12),Utility,"251,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/790/240801025850790.jpg?RS=450&SP=1&QT=20,ALLEGRI,그레이《Super Nylon》하이브리드 윈드브레이커 (ARJU4C001G2),Nylon》하이브리드,"750,500",5%,N/A,N/A,N/A,,,세일
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/675/240408013191675.jpg?RS=450&SP=1&QT=20,BASTONG,House_148_Black,House_148_Black,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_01_%ED%81%AC%EB%A6%BC.png","블랙,크림",N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/548/230215004199548.jpg?RS=450&SP=1&QT=20,OWOC,UTILITY OUT POCKET JACKET(WHITE),UTILITY,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_01_%EC%98%90%EB%A1%9C%EC%9A%B0.png","화이트,옐로우",N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/357/240605019874357.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE KOREA,골든구스 공용 인코 윈드브레이커 GUP01521 P001266 90100,GUP01521,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/794/240801025850794.jpg?RS=450&SP=1&QT=20,ALLEGRI,블랙《Super Nylon》하이브리드 윈드브레이커 (ARJU4C001BK),Nylon》하이브리드,"750,500",5%,N/A,N/A,N/A,,,세일
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/433/230601005338433.jpg?RS=450&SP=1&QT=20,FRANKLY!,Oversized Hoodie Anorak - Ivory,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/517/240404012952517.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[토트넘] NO.9 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/244/240812027294244.jpg?RS=450&SP=1&QT=20,SHIFT.G,Utility Shirket Black (GS4664TO15),Utility,"251,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/144/240508016042144.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE KOREA,골든구스 남성 실버 테크니컬 패브릭 윈드치터 GMP01828 P001560 82624,GMP01828,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/549/240215009006549.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,W DRAWSTRING JUMPER - L/GREY (P241WJP350),DRAWSTRING,"431,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/552/231030006694552.jpg?RS=450&SP=1&QT=20,ARC`TERYX,[FW23]알파 SV 재킷 남성,N/A,"1,187,500",5%,5,1,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/597/240404012952597.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[맨시티] 시티즌스 우븐 아노락 자켓_스카이블루,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/573/240404012952573.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[토트넘] NO.7 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/693/240404012942693.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[아스널] 에센셜 노스런던 윈드브레이커 자켓_그레이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/529/240404012952529.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[토트넘] NO.21 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/561/240404012952561.jpg?RS=450&SP=1&QT=20,FOOTBALL STANDARD,[토트넘] NO.10 백마킹 윈드브레이커 자켓_네이비,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/791/240729025621791.JPG?RS=450&SP=1&QT=20,OFF WHITE,[오프화이트][남성]BOOKISH NYL WINDBREAKER BLACK - WH(OMEB036F24FAB0011001),NYL,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/397/230705005628397.jpg?RS=450&SP=1&QT=20,PAL SPORTING GOODS,[팔 스포팅 굿즈] PAL Grand Prix Overhead Antique White,PAL,"302,100",5%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/255/240314010938255.jpg?RS=450&SP=1&QT=20,BROMPTON LONDON,RIPSTOP LONG SLEEVE ANORAK - BEIGE (P242MAN538),LONG,"215,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/928/240731025772928.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 립스탑 우븐 아노락 BH416E-54NH 031,N/A,"224,100",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/737/210903001428737.jpg?RS=450&SP=1&QT=20,SNOW PEAK,라이프 밸류 어패럴 TAKIBI Denim Jacket 타키비 데님 자켓 블랙,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/851/231127007175851.jpg?RS=450&SP=1&QT=20,ARC`TERYX,[FW23]베타 AR 재킷 남성,N/A,"997,500",5%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/596/231030006694596.jpg?RS=450&SP=1&QT=20,ARC`TERYX,[FW23]감마 MX 재킷 남성,N/A,"494,000",5%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/829/240621022262829.jpg?RS=450&SP=1&QT=20,BASTONG,House_143R_OliveCheck,House_143R_OliveCheck,N/A,N/A,5,3,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/363/240429014957363.jpg?RS=450&SP=1&QT=20,BASTONG,House_124_Black,House_124_Black,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/716/210903001428716.jpg?RS=450&SP=1&QT=20,SNOW PEAK,라이프 밸류 어패럴 TAKIBI Camping Parka 스노우피크 타키비 파카 그레이카키,Camping,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_03_%EB%8B%A4%ED%81%AC_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png","다크 카키,올리브",N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/835/240829029786835.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 남성 우븐 셋업 자켓 SH214E-54NH 031,N/A,"197,100",10%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/563/230330004611563.jpg?RS=450&SP=1&QT=20,STIGMA,23 PAISLEY ANORAK NAVY,PAISLEY,"212,040",14%,N/A,N/A,N/A,,,세일
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/654/240321011637654.jpg?RS=450&SP=1&QT=20,LANSMERE GOLF,[란스미어 골프] 남성 서머 스윙 재킷 - 블랙,N/A,"632,000",20%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/534/230330004611534.jpg?RS=450&SP=1&QT=20,STIGMA,23 PAISLEY ANORAK ORANGE,PAISLEY,"212,040",14%,N/A,N/A,N/A,,,세일
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/237/240806026437237.jpg?RS=450&SP=1,STUSSY,스투시 비치 쉘 코티드 립스탑 본 115765-BONE,N/A,"361,250",21%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/581/240822028736581.jpg?RS=450&SP=1,MONCLER,라프리마 [MONCLER] 몽클레어 남성 바람막이 자켓 9B60100-A9355-999,[MONCLER],"1,350,650",26%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/339/240619021982339.jpg?RS=450&SP=1,COMME DES GARCONS,[COMME DES GARCONS] 24FW K-WAY 와펜 바람막이 자켓 AZ-J501-051-3,GARCONS],"305,150",27%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/151/240403012856151.jpg?RS=450&SP=1,STONE ISLAND,[STONE ISLAND] 24SS 와펜 나일론 메탈와트로TC 자켓 801542020 V0029,ISLAND],"977,500",27%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/120/240522017937120.jpg?RS=450&SP=1,C.P. COMPANY,[CP COMPANY] 24SS 렌즈 와펜 오버 자켓 16CMOS277A 006273G 402,006273G,"449,650",27%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/goods/org/419/230906006154419.jpg?RS=450&SP=1,STONE ISLAND,스톤아일랜드 41027 V0029 (791541027) 소프트쉘 프리마로프 와펜 로고 패치 후드 남성 자켓,N/A,"841,500",29%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,바람막이/아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/258/240403012856258.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 24SS 와펜 멤브라나 3L TC 자켓 블랙 801541123 V0029,ISLAND],"926,500",27%,N/A,N/A,N/A,,,N/A
