top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/618/240828029553618.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 코듀로이 더블집업 점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","다크베이지,다크 네이비",N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/591/240828029553591.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 투포켓 집업점퍼,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/942/240802026005942.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 패딩 라이너 셔켓,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png","베이지,블루",N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240808026728811.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 패딩 라이너 셔켓,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트 카키,네이비",N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/078/240826029289078.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 사이드 버튼 헴 울 싱글 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/988/240729025619988.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 자수 로고 밴딩 헴 후드 점퍼,N/A,"6,317,500",5%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/829/240716024666829.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 넥 레더 디트로이드 점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_03_%EB%8B%A4%ED%81%AC_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","다크카키,블랙",N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/965/240802026005965.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 하이넥 보머 점퍼,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","라이트 카키,블랙",N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/120/240611020853120.jpg?RS=450&SP=1&QT=20,PAUL SMITH,남성 [PS PAUL SMITH] 나일론 셔츠 자켓,PAUL,"630,000",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/085/240730025703085.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 드랍숄더 후드 보머점퍼,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_01_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png","다크 네이비,브라운",N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/972/240611020852972.jpg?RS=450&SP=1&QT=20,PAUL SMITH,남성 [PS PAUL SMITH] 나일론 셔츠 자켓,PAUL,"630,000",10%,N/A,N/A,N/A,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/479/240828029441479.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 레브 투어 보머 M007OB-7414,N/A,"454,100",5%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/496/240828029441496.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 타이크 자켓 M001OB-5,N/A,"435,100",5%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/498/240828029559498.jpg?RS=450&SP=1&QT=20,BOSS,[공식] [보스] 카무플라주 퀼팅 발수 자켓 50518307_001,N/A,"771,900",7%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/900/240827029413900.jpg?RS=450&SP=1&QT=20,SHIFT.G,Wool Goose Down Cardigan Grey (GS4X41T023),Wool,"539,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/852/240827029413852.jpg?RS=450&SP=1&QT=20,SHIFT.G,Wool Goose Down Hood Cardigan Navy (GS4X41T01R),Wool,"539,100",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/349/240821028499349.jpg?RS=450&SP=1&QT=20,GALAXY,[Prestige] 크로커 엠보 램 스웨이드 블루종 베이지 (GA483ZP01A),[Prestige],"1,791,000",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,점퍼,캐주얼/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/151/240821028501151.jpg?RS=450&SP=1&QT=20,GALAXY,[Prestige] 코듀로이 고트스웨이드 블루종 블루 (GA483ZP02P),[Prestige],"1,791,000",10%,N/A,N/A,신상,,,N/A
