top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/030/240716024684030.jpg?RS=450&SP=1,ALEXANDER WANG,[UNISEX] 퍼프 로고 머슬 탱크탑,N/A,"465,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/022/240716024684022.jpg?RS=450&SP=1,ALEXANDER WANG,[UNISEX] 퍼프 로고 머슬 탱크탑,N/A,"465,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/666/240901030231666.jpg?RS=450&SP=1,FEAR OF GOD,24FW 피어오브갓 민소매 티셔츠 FG850026CTN Black,FG850026CTN,"456,450",16%,N/A,N/A,신규입고,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/512/240829029675512.jpg?RS=450&SP=1,DOLCE & GABBANA,24FW 돌체앤가바나 민소매 티셔츠 M8C10JONN94 N0000 Black,Black,"440,300",15%,N/A,N/A,신규입고,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/731/240824029059731.jpg?RS=450&SP=1&QT=20,LEMAIRE,24SS 르메르 민소매 티셔츠 TO1180LJ1016 BK999 BLACK,TO1180LJ1016,"299,200",15%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/354/240901030231354.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,24FW 돌체앤가바나 민소매 티셔츠 G8PA8T White,G8PA8T,"419,050",15%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/832/240831030127832.jpg?RS=450&SP=1&QT=20,ANN DEMEULEMEESTER,24FW 앤 드뮐미스터 민소매 티셔츠 2401 M JTO10 FA434 002 WHITE,N/A,"280,500",26%,N/A,N/A,신규입고,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/144/240902030234144.jpg?RS=450&SP=1&QT=20,MISBHV,24SS 미스비헤이브 민소매 티셔츠 240M533C White,N/A,"279,650",15%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/151/240902030234151.jpg?RS=450&SP=1&QT=20,AMI PARIS,24SS 아미 민소매 티셔츠 HTK034JE0055 Neutrals,Neutrals,"279,650",15%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/176/240215009013176.JPG?RS=450&SP=1&QT=20,OFF WHITE,[오프화이트][남성]OFF STAMP SHAPED TANK TOP WHITE BLACK(OMAC027C99JER0010110),BLACK(OMAC027C99JER0010110),N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/223/240823028919223.jpg?RS=450&SP=1&QT=20,JW ANDERSON,24FW JW앤더슨 민소매 티셔츠 JT0254 PG1510 001 WHITE,PG1510,"254,150",26%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/887/240813027519887.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,24FW 보테가베네타 민소매 티셔츠 799593 V3Z60 White,N/A,"1,462,850",15%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/678/240216009029678.jpg?RS=450&SP=1&QT=20,PEUTEREY,페트레이 남성 도노마[DONOMA NR 02 R] 민트 PRMVT001E0FMI,N/A,"738,000",10%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/185/240215009013185.JPG?RS=450&SP=1&QT=20,OFF WHITE,[오프화이트][남성]OFF STAMP SHAPED TANK TOP BLACK WHITE(OMAC027C99JER0011001),BLACK,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/935/240902030242935.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,돌체앤가바나 민소매 티셔츠 G8PA8T Black,G8PA8T,"381,650",22%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/224/240813027505224.jpg?RS=450&SP=1&QT=20,MARINE SERRE,마린세르 민소매 티셔츠 MTT081ACJER0011BK99,N/A,"293,250",15%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/182/240902030234182.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 민소매 티셔츠 761275Y37EC 9744,N/A,"567,800",37%,N/A,N/A,신규입고,,,N/A
남성의류,티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/612/240821028561612.jpg?RS=450&SP=1&QT=20,KIKO KOSTADINOV,24FW 키코 코스타디노브 민소매 티셔츠 KKAW24KN01 96 ESSICK GREY,GREY,"475,150",27%,N/A,N/A,N/A,,,N/A
