top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240829029793344.jpg?RS=450&SP=1,MAN ON THE BOON,언발 버튼 스트레치 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/632/240828029553632.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 셋업 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/507/240808026710507.jpg?RS=450&SP=1,MAN ON THE BOON,울 스트레치 플란넬 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/337/240829029793337.jpg?RS=450&SP=1,MAN ON THE BOON,언발 버튼 스트레치 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/936/240726025419936.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 투 턱 플리츠 언발 버튼 팬츠,N/A,"2,042,500",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/774/240726025419774.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 원 턱 플리츠 캐시미어 팬츠,N/A,"3,467,500",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/107/240819028283107.jpg?RS=450&SP=1&QT=20,PAUL SMITH,밴딩 롤업 헴 울 캐시미어 팬츠,N/A,"711,000",10%,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/125/240812027288125.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 웨이스트 버튼 헤링본 울 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/229/240809026900229.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 스트레치 울 밴딩 트라우저 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/221/240809026900221.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 스트라이프 패턴 스트레치 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/194/240809026900194.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 사이드 버클 플리티드 울 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/186/240809026900186.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 히든 클로저 울 블렌드 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,슬랙스,https://image.sivillage.com/upload/C00001/s3/goods/org/338/240821028530338.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 울폴리 테일러드 셋업 팬츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_03_%EB%8B%A4%ED%81%AC_%EB%B8%94%EB%A3%A8.png","라이트 카키,다크 블루",N/A
