top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/763/240627022883763.jpg?RS=450&SP=1,RICK OWENS,[MEN] 드로스트링 레더 쇼츠,N/A,"2,166,000",5%,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/568/240830029959568.jpg?RS=450&SP=1,RICK OWENS,[MEN] 아치 로고 스트링 복서 쇼츠,N/A,"1,216,000",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/248/240726025420248.jpg?RS=450&SP=1,BRUNELLO CUCINELLI,남성 원 턱 플리츠 테니스 배지 쇼츠,N/A,"1,805,000",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/255/240726025420255.jpg?RS=450&SP=1,BRUNELLO CUCINELLI,남성 원 턱 플리츠 테니스 배지 쇼츠,N/A,"1,805,000",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/382/240726025420382.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 테니스 로고 밴딩 쇼츠,N/A,"1,757,500",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/165/240801025874165.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,로고 모노그램 자카드 쇼츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/792/240814027642792.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] [DRKSHDW] 컷오프 저지 트러커 쇼츠,N/A,"931,000",5%,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/873/240722025070873.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[BARENA] 코튜로이 카고 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/243/240801025857243.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] [DRKSHDW] 코듀로이 카고 쇼츠,N/A,"1,643,500",5%,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/484/240717024755484.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 투 턱 플리티드 롤업 쇼츠,N/A,"1,615,000",5%,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/549/240830029970549.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 드로스트링 밴딩 린넨 쇼츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/551/240830029970551.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 릴랙스트 투 턱 플리츠 쇼츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/991/240716024694991.jpg?RS=450&SP=1&QT=20,SACAI,[남성]벨티드 밴딩 데님 쇼츠,N/A,"712,500",5%,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/186/240726025428186.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men Collection] 네이선 클라우드 새틴 쇼츠,Collection],"223,250",5%,N/A,N/A,N/A,,,N/A
남성의류,팬츠,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/336/240802025944336.jpg?RS=450&SP=1&QT=20,VUORI,[남성] 메타 쇼츠,N/A,"125,550",19%,5,1,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/09_01_%EA%B7%B8%EB%A6%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","그린,챠콜,네이비,그레이",N/A
