top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/goods/org/330/211012001534330.jpg?RS=450&SP=1,LIAIGRE,BARBUDA II CHAIR,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/704/240611020809704.jpg?RS=450&SP=1,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 서비스 폴딩 트롤리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/goods/org/009/220708002774009.jpg?RS=450&SP=1,CASAMIA,헬싱키)2인식탁세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/216/240611020807216.jpg?RS=450&SP=1,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 스네이크 접이식 행거 60,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/856/240530018985856.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 걸리버 접이식 빨래건조대 월넛,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/211/240611020807211.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 에스판시바 확장형 옷걸이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/767/240611020804767.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 고패스트 쇼핑 카트 트롤리 블랙,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/628/240325011930628.jpeg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli 플로나_투명,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/615/240325011930615.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli 플로나_블랙(투명),castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/214/240611020807214.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 시에스타 사이드 테이블,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/220/240611020807220.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 벤셰프 2단 트롤리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/823/240530018985823.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 옥토푸스 접이식 빨래건조대,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/goods/org/012/220708002774012.jpg?RS=450&SP=1&QT=20,CASAMIA,헬싱키)6인식탁세트(벤치1ea＋체어3ea),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240315011062901.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_옐로우,castelli,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/197/240611020807197.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 아사이 접이식 다리미판 웬지,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/855/240530018985855.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 루나 폴딩 체어,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240611020809705.jpg?RS=450&SP=1&QT=20,FOPPAPEDRETTI,Foppapedretti 포빠페드레띠 뉴튼 테이블 트롤리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/813/240315011062813.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_그린,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,주방 가구,주방 수납장,https://image.sivillage.com/upload/C00001/s3/goods/org/949/240315011062949.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_오렌지,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
