top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/968/210616001275968.jpg?RS=450&SP=1,CHAIR GALLERY,Engelbrechts 제트-다운 / Z-Down,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/901/230907006252901.jpg?RS=450&SP=1,CHAIR GALLERY,Engelbrechts 케비 2051_오크/크롬 / Kevi 2051_Oak/Chrome,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/350/230118003893350.jpg?RS=450&SP=1,CASAMIA,밀튼 와이드서랍장,N/A,"1,161,000",10%,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/103/230118003895103.jpg?RS=450&SP=1,CASAMIA,레토 3단서랍 (컬러 택1),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/560/230118003895560.jpg?RS=450&SP=1&QT=20,CASAMIA,로베르 4단서랍 (컬러 택1),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/705/230907006178705.jpg?RS=450&SP=1&QT=20,KNOLL,[Knoll] Saarinen Round side Table 41cm (Black/Verde Alpi),[Knoll],N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100042_211026145845.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","91 베르 에코세,블랙,화이트,화이트,화이트",N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/445/230118003893445.jpg?RS=450&SP=1&QT=20,CASAMIA,로베르 와이드서랍장_다크그린,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/779/230907006312779.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,artek 알토 테이블 91_화이트,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","화이트,화이트",N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/058/230118003895058.jpg?RS=450&SP=1&QT=20,CASAMIA,까사미아 레토 와이드체스트(컬러 택1),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/491/230118003896491.jpg?RS=450&SP=1&QT=20,CASAMIA,루카 사이드테이블,N/A,N/A,N/A,5,2,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/062/230118003897062.jpg?RS=450&SP=1&QT=20,CASAMIA,헤이즈 5단서랍장,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/047/230118003895047.jpg?RS=450&SP=1&QT=20,CASAMIA,아우로라 원형 사이드테이블(컬러 택1),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/020/230118003895020.jpg?RS=450&SP=1&QT=20,CASAMIA,멜로우 3단서랍장,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/645/230111003815645.jpg?RS=450&SP=1&QT=20,CASAMIA,까사미아 브루노 와이드서랍장_월넛브라운,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/s3/goods/org/066/231228007754066.jpg?RS=450&SP=1&QT=20,KARTELL,모빌 5 / 컨테이너 / 바퀴형 / 아이스 / 크롬 프레임,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/958/210616001275958.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 엑스-시트 / X-sit,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/s3/goods/org/060/231228007754060.jpg?RS=450&SP=1&QT=20,KARTELL,아띨라,N/A,"584,000",1%,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/373/220623002690373.jpg?RS=450&SP=1&QT=20,CASAMIA,노아)4단서랍장,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/410/230118003893410.jpg?RS=450&SP=1&QT=20,CASAMIA,루카 와이드서랍장,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,침실 가구,서랍장/협탁,https://image.sivillage.com/upload/C00001/goods/org/499/230907006248499.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 케비 2051_오크/블랙 / Kevi 2051_Oak/Black,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
