top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/724/231018006622724.jpg?RS=450&SP=1,EcoSmart Fire,Designer Fireplaces _ GHOST_ Stainless Steel,Designer,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/18_01_%EC%8B%A4%EB%B2%84.png,https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg","실버,내츄럴 블랙",N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/788/231018006624788.jpg?RS=450&SP=1,EcoSmart Fire,Designer Fireplaces _ BE WHITE,Designer,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/091/231018006625091.jpg?RS=450&SP=1,EcoSmart Fire,Designer Fireplaces _ MODUS MARBLE,Designer,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/533/231109006992533.jpg?RS=450&SP=1,EcoSmart Fire,Fire Tables_ MANHATTAN50 natural,Tables_,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/532/231109006992532.jpg?RS=450&SP=1&QT=20,EcoSmart Fire,Fire Pits_ STIX,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/931/231018006624931.jpg?RS=450&SP=1&QT=20,EcoSmart Fire,Designer Fireplaces _ PILLAR3 OAK LOW,Designer,N/A,N/A,5,1,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/goods/org/495/231018006624495.jpg?RS=450&SP=1,EcoSmart Fire,Designer Fireplaces _ FORM FIREBOX,Designer,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/s3/goods/org/170/240115008113170.JPG?RS=450&SP=1,EcoSmart Fire,e-NRG 10L 바이오 에탄올,e-NRG,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/s3/goods/org/858/240711024424858.jpg?RS=450&SP=1,allo,[10%쿠폰 증정] 알로코리아 초파리 포충기 모기퇴치기 날파리 벌레 해충 가정용 휴대용,N/A,"39,900",20%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,공기청정/계절가전,기타 계절가전,https://image.sivillage.com/upload/C00001/s3/goods/org/859/240711024424859.jpg?RS=450&SP=1,allo,[10%쿠폰 증정] 알로코리아 LED 무선 무드 램프 모기퇴치기 AMT3W,LED,"35,900",20%,N/A,N/A,N/A,,,N/A
